relation,r,p
vol × |ret| (contemp),0.3323,0.00e+00
vol_t → ret_{t+1},0.0048,0.5117
vol_t → ret_{t+5},0.0029,0.6945
vol_t → ret_{t+10},-0.0018,0.8003
vol_t → ret_{t+20},0.0000,0.9997
tbr_t → ret_{t+1},-0.0253,0.0005
tbr_t → ret_{t+5},-0.0002,0.9734
tbr_t → ret_{t+10},0.0099,0.1769
tbr_t → ret_{t+20},0.0070,0.3379
