label,n_signals,freq_per_yr,det_rate,fp_rate,median_lag
A_ema1_60,630,73.62654650170649,0.6342857142857142,0.4492063492063492,7.0
A_ema1_90,450,52.59039035836177,0.49142857142857144,0.42,7.0
A_ema1_120,388,45.34460324232082,0.4057142857142857,0.4072164948453608,7.0
A_ema10_60,213,24.892784769624573,0.4342857142857143,0.29107981220657275,11.5
A_ema10_90,154,17.997600255972696,0.26857142857142857,0.2662337662337662,11.0
A_ema10_120,131,15.309646970989762,0.19428571428571428,0.2748091603053435,12.0
A_ema20_60,159,18.581937926621162,0.2742857142857143,0.2830188679245283,13.0
A_ema20_90,114,13.322898890784984,0.17142857142857143,0.2631578947368421,13.5
A_ema20_120,109,12.73856122013652,0.13714285714285715,0.3211009174311927,14.0
A_ema30_60,133,15.543382039249147,0.2,0.2631578947368421,13.0
A_ema30_90,102,11.92048848122867,0.12,0.27450980392156865,14.0
A_ema30_120,91,10.634945605802049,0.08571428571428572,0.25274725274725274,14.0
B_break20,1184,138.37116040955632,0.8285714285714286,0.15878378378378377,10.0
B_break40,824,96.2988481228669,0.4228571428571429,0.07888349514563107,12.0
B_break60,697,81.45667128839591,0.2914285714285714,0.05021520803443329,12.0
B_break80,607,70.93859321672355,0.24,0.03459637561779242,10.5
B_break120,507,59.251839803754265,0.17714285714285713,0.01972386587771203,10.0
C_roc10_5,481,56.21328391638225,0.7657142857142857,0.15592515592515593,9.0
C_roc10_10,162,18.93254052901024,0.37714285714285717,0.08024691358024691,10.0
C_roc10_15,48,5.6096416382252565,0.17142857142857143,0.041666666666666664,10.0
C_roc20_5,517,60.4205151450512,0.76,0.20309477756286268,15.0
C_roc20_10,223,26.0614601109215,0.4514285714285714,0.14798206278026907,16.0
C_roc20_15,110,12.855428754266212,0.2742857142857143,0.16363636363636364,16.5
C_roc40_5,468,54.694005972696246,0.36,0.3247863247863248,12.0
C_roc40_10,256,29.918088737201366,0.18857142857142858,0.19140625,9.0
C_roc40_15,168,19.6337457337884,0.15428571428571428,0.14285714285714285,4.0
D_vb20_1.0,846,98.86993387372014,0.88,0.2647754137115839,8.0
D_vb20_1.5,641,74.91208937713311,0.7485714285714286,0.1934477379095164,11.0
D_vb20_2.0,468,54.694005972696246,0.5085714285714286,0.14316239316239315,14.0
D_vb40_1.0,612,71.52293088737201,0.6857142857142857,0.28594771241830064,10.0
D_vb40_1.5,542,63.342203498293514,0.5428571428571428,0.25276752767527677,12.0
D_vb40_2.0,511,59.71930994027304,0.41714285714285715,0.2328767123287671,13.0
