candidate,constraint,actual,status
Cand01,HC-1: avg_loser >= -0.08,-0.0700382018904943,PASS
Cand01,HC-2: avg_hold >= 40,124.28205128205128,PASS
Cand01,HC-3: 30-200 trades,39.0,PASS
Cand01,HC-6: MDD <= 60%,0.519833999541636,PASS
Cand02,HC-1: avg_loser >= -0.08,-0.043099886802291855,PASS
Cand02,HC-2: avg_hold >= 40,75.63265306122449,PASS
Cand02,HC-3: 30-200 trades,49.0,PASS
Cand02,HC-6: MDD <= 60%,0.40325358915195036,PASS
Cand03,HC-1: avg_loser >= -0.08,-0.04107676443408727,PASS
Cand03,HC-2: avg_hold >= 40,46.96363636363636,PASS
Cand03,HC-3: 30-200 trades,110.0,PASS
Cand03,HC-6: MDD <= 60%,0.44990114642007617,PASS
