sharpe,cagr,mdd,n_trades,exposure,churn_rate,avg_winner,avg_loser,win_rate,profit_factor,avg_hold,capture_ratio,label
0.1900804464463188,0.05902244865779904,-0.5051465769969061,236,0.2874893344709898,0.2838983050847458,0.07481368535534154,-0.034587807753992506,0.3559322033898305,1.1953462144481133,22.843220338983052,0.32433077914395053,X_trail3pct
0.35412131281033543,0.13703232940791876,-0.5959329788577078,179,0.433393771331058,0.24581005586592178,0.1013511934165048,-0.05092740622715023,0.40782122905027934,1.3705481696690278,45.402234636871505,0.43529451494205856,X_trail5pct
0.465734634035271,0.22858654061009132,-0.619853666546616,131,0.6169475255972696,0.26717557251908397,0.19281639187600105,-0.06940356981589632,0.366412213740458,1.6066648317319827,88.31297709923665,0.5755354985057926,X_trail8pct
0.5194897924402453,0.2900632983847695,-0.6866593295420163,83,0.7229095563139932,0.2289156626506024,0.28303443271578366,-0.09444239288683005,0.3855421686746988,1.8804080123749298,163.32530120481928,0.6511548200785258,X_trail12pct
0.44693942172798895,0.2592417947410768,-0.7421346721898309,62,0.7711710750853242,0.14516129032258066,0.39828614291016556,-0.10591690605713197,0.3548387096774194,2.068200316221762,233.24193548387098,0.6905839260770081,X_trail15pct
0.20493141378026525,0.07524342099382109,-0.7103709540800395,232,0.29703498293515357,0.24568965517241378,0.08323177809962637,-0.03811319019322692,0.36637931034482757,1.2627444300789166,24.00862068965517,0.38519650496272867,Y_atr14_2.0
0.57442700286537,0.2896547103604916,-0.5232854782042458,196,0.4260345563139932,0.2653061224489796,0.1272480076889597,-0.04480449588808225,0.37244897959183676,1.6855713650638777,40.76020408163265,0.550868999006865,Y_atr14_3.0
0.5882840015463278,0.3288063998159352,-0.6862294039814423,157,0.5420221843003413,0.27388535031847133,0.18020854939810993,-0.05339711004741608,0.34394904458598724,1.769351722079886,64.73885350318471,0.6180189368975176,Y_atr14_4.0
0.6811550449284571,0.40789642253329794,-0.6633881181411425,131,0.6099616040955631,0.22137404580152673,0.20419649266136508,-0.05795126733449911,0.37404580152671757,2.1055597398156607,87.31297709923665,0.6547149360166997,Y_atr14_5.0
0.5149606296048406,0.2703952468897315,-0.6806220901909379,388,0.5232508532423208,0.6288659793814433,0.16517580619589908,-0.01930522314177092,0.15979381443298968,1.6272178467794334,25.288659793814432,0.6405705599424546,Z_rev1_120
-0.09659209334811676,-0.029950737948761907,-0.7512567600357002,302,0.24925341296928327,0.38741721854304634,0.06206102072016732,-0.01718618028959287,0.24172185430463577,1.15113677538249,15.47682119205298,0.26765993921107467,Z_rev20_90
0.0014512660885406038,0.00046224286403884207,-0.6054592525367386,299,0.30684726962457337,0.391304347826087,0.06462113906452577,-0.019850828319751157,0.2608695652173913,1.1489425266758426,19.244147157190636,0.32374773267063706,Z_rev10_60
-0.2493890820383427,-0.07852353212864938,-0.5559725821193886,216,0.22984215017064846,0.2222222222222222,0.043737688325696515,-0.04064962247882047,0.46296296296296297,0.9275585215752994,19.953703703703702,0.2470057074831712,W_time20
-0.07159851768860108,-0.02844850120447806,-0.6294647866793294,168,0.35676194539249145,0.22023809523809523,0.07165277876904289,-0.05826192060397525,0.4642857142857143,1.0658604160216008,39.82142857142857,0.36321228096774194,W_time40
0.06723671267840008,0.032707936778984203,-0.6543229336930225,122,0.5189846416382252,0.1557377049180328,0.10151642742761544,-0.08803601806296728,0.5163934426229508,1.2313016816161908,79.77049180327869,0.503100989459946,W_time80
0.10013587734670183,0.051705769170870886,-0.864143014152001,96,0.6107081911262798,0.17708333333333334,0.13400632158876372,-0.09946804955178375,0.5,1.3472298109052503,119.29166666666667,0.5700066636886291,W_time120
0.2879699448655711,0.12374443736455909,-0.5975895416728616,133,0.42347482935153585,0.17293233082706766,0.10165770043726713,-0.04707210191825821,0.41353383458646614,1.522806692831943,59.70676691729323,0.42436963180623916,V_vol1.5
0.20302370677248155,0.13393083251893767,-0.7699110668268926,33,0.857455204778157,0.09090909090909091,0.6037388060470291,-0.17172526676692268,0.42424242424242425,2.5905341785292024,487.24242424242425,0.8066605293608204,V_vol2.0
0.46324304449990794,0.3795475959491921,-0.8390598442375501,1,0.9998933447098977,0.0,14.72654970297924,0.0,1.0,14726549702979.24,18750.0,1.0,V_vol2.5
0.07350445508354779,0.024101213128828736,-0.5392196309728414,388,0.25719923208191126,0.520618556701031,0.0844654208824153,-0.01916827974032825,0.20876288659793815,1.1626324894556583,12.43041237113402,0.364154699641839,YZ_atr2.0_rev1_120
0.4239404624423904,0.18675361978870875,-0.5861816219182567,388,0.35809513651877134,0.5592783505154639,0.12638755462078285,-0.019315594175152256,0.18556701030927836,1.4908764432947548,17.306701030927837,0.5125329297401411,YZ_atr3.0_rev1_120
0.4121350527926593,0.1961779881570278,-0.6620894139424909,388,0.4393664675767918,0.6005154639175257,0.14347833906891963,-0.01936716052725295,0.16752577319587628,1.490840638554107,21.234536082474225,0.5705001435849156,YZ_atr4.0_rev1_120
0.21610640005911858,0.08673985403272022,-0.45566221306628646,196,0.368973976109215,0.24489795918367346,0.09427900688254572,-0.04501145804616596,0.37755102040816324,1.270468223153896,35.30102040816327,0.43026670366191117,YW_atr3_80
0.4961638711770951,0.22644166672325206,-0.4872448078201103,196,0.40203711604095566,0.25,0.11512845885689374,-0.04480449588808225,0.37244897959183676,1.5250316062115579,38.464285714285715,0.4889598263490096,YW_atr3_120
0.3467777181671331,0.1492486177636574,-0.5304288367258245,199,0.38955844709897613,0.24623115577889448,0.102968278652095,-0.04418172168271366,0.3768844221105528,1.4096146194774757,36.70854271356784,0.47907388873502177,YV_atr3_vol2
0.48791850668758296,0.2161051506661651,-0.5659987434001573,388,0.4676301194539249,0.5979381443298969,0.1461530792321818,-0.01927467281175055,0.16494845360824742,1.4978072171613237,22.600515463917525,0.5322771441702879,XZ_trail8_rev1_120
