year,strategy,sharpe,annual_ret,n_trades
2017,Cand01,1.2730032229069879,0.2123543544935247,3
2017,Cand02,1.2730032229069879,0.2123543544935247,3
2017,Cand03,2.8191436226186304,1.4753467625708785,5
2017,Benchmark,2.7054408264181284,1.3808233234581797,5
2018,Cand01,0.6373192708175208,0.07236232879521043,1
2018,Cand02,0.26819126300830043,0.028168508783508184,2
2018,Cand03,-1.234816275412291,-0.25216908953573114,8
2018,Benchmark,0.19775975634579715,0.07147652955748551,15
2019,Cand01,2.918097143263311,1.5277543355597225,4
2019,Cand02,2.9574077219483246,1.528924240582409,5
2019,Cand03,1.3035227991196818,0.6534313891331198,12
2019,Benchmark,0.5838681177151875,0.1680280179705138,8
2020,Cand01,2.864233478445752,1.813713496336717,6
2020,Cand02,1.502563456077521,0.44619442666588416,7
2020,Cand03,1.787494149810077,1.0043898721044342,17
2020,Benchmark,2.2063727317271136,0.9944874512204613,14
2021,Cand01,0.7409136657641805,0.2839933120876854,6
2021,Cand02,0.7730780055664839,0.28952913320510243,9
2021,Cand03,0.46512206076927787,0.23070027825632566,14
2021,Benchmark,0.9932655789086366,0.552324161100044,11
2022,Cand01,-1.2805293846518582,-0.0615700638689739,1
2022,Cand02,-1.2805293846518588,-0.0615700638689739,1
2022,Cand03,-1.6956038852597595,-0.24850456308209012,8
2022,Benchmark,-1.2606839463736077,-0.26129292198286436,14
2023,Cand01,0.5871885667590638,0.18564575328999977,6
2023,Cand02,1.032059203228566,0.3309571763160555,7
2023,Cand03,1.9547035680411096,0.7412751404519315,15
2023,Benchmark,1.5865682331882152,0.532116121347789,13
2024,Cand01,1.6070359197779183,0.7440991214994432,6
2024,Cand02,1.5853053735955587,0.6348316056620789,8
2024,Cand03,1.0793380430368436,0.3889498042316779,18
2024,Benchmark,0.3383323843154739,0.06888580308712688,12
2025,Cand01,-0.8113044213577343,-0.14571923586259317,6
2025,Cand02,-0.5754095569788293,-0.10021084823874626,7
2025,Cand03,0.4814174232148603,0.0913920559406447,12
2025,Benchmark,-0.21276697886978785,-0.03728648576063587,13
2026,Cand01,0.0,0.0,0
2026,Cand02,0.0,0.0,0
2026,Cand03,-2.1293415804173232,-0.021618906345964417,1
2026,Benchmark,-0.49794268934779795,-0.01576429908343202,3
