trade_id,entry_price,exit_price,return_pct,pnl,days_held,qty,entry_reason,entry_ts,exit_ts,exit_compressed,exit_tightened,exit_double_compressed,exit_trail_dist_pct,exit_compression_ratio,exit_multiplier,exit_peak_profit,exit_current_profit,trade_noise_ratio,trade_bars,max_high_1d,max_return_1d,close_at_1d,close_return_1d,max_high_2d,max_return_2d,close_at_2d,close_return_2d,max_high_3d,max_return_3d,close_at_3d,close_return_3d,max_high_5d,max_return_5d,close_at_5d,close_return_5d,max_high_7d,max_return_7d,close_at_7d,close_return_7d,max_dd_7d
1,5190.93,5303.65,2.17,88.95,17.33,0.82803939,vdo_trend_accel,2019-04-10 20:00:00,2019-04-28 04:00:00,False,False,False,0.04548943784180478,0.8271265268467605,3.5,0.0726555742419951,0.02474315777712271,0.0,105,5340.0,0.006853770516531138,5301.46,-0.000412923175548839,5340.0,0.006853770516531138,5222.0,-0.015395058120351012,5374.18,0.013298388845417902,5353.4,0.009380332412583786,5700.0,0.07473155279854447,5695.09,0.07380577526797592,5900.0,0.11244143184410743,5755.0,0.08510176953607429,-0.023540391994192576
2,5515.81,7339.9,33.07,3005.78,18.17,1.65448057,vdo_trend_accel,2019-04-29 00:00:00,2019-05-17 04:00:00,False,True,False,0.12086650534147071,1.2787464908340131,2.5,0.508692286355041,0.3232743694942356,0.0125,110,7458.0,0.016090137467812963,7302.99,-0.005028678864834651,7997.0,0.08952438044115048,7907.22,0.07729260616629663,8275.09,0.1274118175996949,7871.41,0.07241379310344831,8275.09,0.1274118175996949,7882.22,0.0738865652120602,8275.09,0.1274118175996949,7852.27,0.06980612814888497,-0.058161555334541294
4,8139.17,8111.2,-0.34,-45.23,10.5,1.25335316,vdo_trend_accel,2019-05-24 12:00:00,2019-06-04 00:00:00,False,False,False,0.10397892130250891,1.1860955765690313,3.5,0.09854567480467909,-0.029885111135410584,0.0,64,8050.0,-0.0075451227931748474,7796.61,-0.038784643455962144,8050.0,-0.0075451227931748474,7851.95,-0.03196197849886576,8050.0,-0.0075451227931748474,7786.7,-0.04000641088864779,8100.0,-0.0013808067856790386,7873.31,-0.029328582700463485,8100.0,-0.0013808067856790386,7932.34,-0.022050991222013965,-0.0821851267383371
5,7882.49,11823.49,50.0,6019.9,21.5,1.53209897,vdo_trend_accel,2019-06-06 04:00:00,2019-06-27 16:00:00,False,True,False,0.20061474468992843,1.6688114744617024,2.5,0.7711103978565149,0.3982903879357919,0.025,130,12400.0,0.04875971477118856,12368.43,0.046089606368339676,12480.0,0.05552590647938978,11900.0,0.0064710165949309565,12480.0,0.05552590647938978,11301.0,-0.04419084382022565,12480.0,0.05552590647938978,10784.0,-0.08791735773447601,12480.0,0.05552590647938978,11805.42,-0.001528313552089925,-0.17731566567908458
6,11436.42,11183.36,-2.21,-323.88,9.0,1.22565403,vdo_trend_accel,2019-07-03 04:00:00,2019-07-12 04:00:00,False,False,False,0.1472442783026694,1.1019207671461708,3.5,0.1341162706511303,0.018793468585448968,0.0,55,11885.0,0.06273964175346224,11464.61,0.025148971328831406,11885.0,0.06273964175346224,11126.8,-0.005057514020831066,11885.0,0.06273964175346224,10322.7,-0.07695898191598945,11885.0,0.06273964175346224,9549.98,-0.14605449525008593,11885.0,0.06273964175346224,10600.29,-0.05213728253405056,-0.189867803593911
7,10539.68,9925.13,-5.83,-669.29,5.33,1.07176091,vdo_trend_accel,2019-07-18 08:00:00,2019-07-23 16:00:00,False,False,False,0.08670899987642153,0.7944769060253647,3.5,0.03405985760478492,-0.03704002398554789,0.0,33,10227.98,0.030513454231833777,9650.99,-0.027620796906438448,10227.98,0.030513454231833777,9857.82,-0.0067817751505521336,10227.98,0.030513454231833777,9839.0,-0.008677971976185623,10227.98,0.030513454231833777,9555.68,-0.0372236937954464,10227.98,0.030513454231833777,9598.52,-0.03290737753560898,-0.07658640239472926
8,9875.97,11388.96,15.32,2515.25,16.33,1.67504937,vdo_trend_accel,2019-07-25 04:00:00,2019-08-10 12:00:00,False,True,False,0.0576229413987042,0.9825275234456529,2.5,0.23382715824369663,0.15572141268148865,0.0,99,11482.86,0.008244826568887894,11378.0,-0.0009623354546858648,11600.0,0.01853022576249288,11399.11,0.000891213947542309,11600.0,0.01853022576249288,10951.09,-0.038446881892639805,11600.0,0.01853022576249288,10094.59,-0.11365129037243077,11600.0,0.01853022576249288,10312.27,-0.09453804386001871,-0.14390778438066332
11,9637.44,10294.56,6.82,1233.69,9.17,1.90732498,vdo_trend_accel,2019-08-31 00:00:00,2019-09-09 04:00:00,False,False,False,0.05552842912483439,0.9321779249316429,3.5,0.12509131055550016,0.05291031643257961,0.0,56,10480.0,0.018013397367153187,10271.14,-0.0022749879548033206,10480.0,0.018013397367153187,10066.0,-0.02220201737616756,10480.0,0.018013397367153187,10079.79,-0.020862474938219664,10480.0,0.018013397367153187,10319.0,0.002374069411417342,10480.0,0.018013397367153187,10302.25,0.0007469964719230846,-0.04026981240577543
14,8240.77,9059.14,9.93,1668.32,36.17,2.0614231,vdo_dip_buy,2019-09-26 00:00:00,2019-11-01 04:00:00,False,False,False,0.06712702997684034,0.7865432856963476,3.5,0.17861923096992138,0.104144394273836,0.02564102564102564,218,9279.0,0.024269411886779606,9213.97,0.017091026300509755,9373.74,0.03472735822605682,9239.61,0.019921317034508924,9373.74,0.03472735822605682,9179.42,0.013277198497870731,9513.68,0.050174740648670946,9389.65,0.03648359557308974,9513.68,0.050174740648670946,9144.4,0.009411489390825202,9.493174848833136e-05
17,9176.51,9740.55,6.15,1022.08,30.5,1.84391707,vdo_trend_accel,2020-01-17 08:00:00,2020-02-16 20:00:00,False,False,False,0.06594151057417445,1.146480341209182,3.5,0.13112065480231586,0.08072349945676517,0.0,184,9964.16,0.02295660922637845,9706.0,-0.003547027631909828,10250.0,0.05230197473448633,10164.71,0.0435457956686224,10250.0,0.05230197473448633,9593.79,-0.015066911006051856,10250.0,0.05230197473448633,9677.05,-0.006519139062989256,10250.0,0.05230197473448633,9936.4,0.020106667487975564,-0.040095271827566135
