trade_id,exit_price,return_pct,has_reentry,bars_to_reentry,reentry_price,reentry_cost_pct,gap_days
2,5303.65,2.57,True,5.0,5388.94,1.608137791898032,0.8333333333333334
3,7339.9,36.2,True,4.0,7622.66,3.8523685608795795,0.6666666666666666
4,8111.2,6.41,True,13.0,7883.53,-2.8068596508531423,2.1666666666666665
5,11823.49,49.98,False,33.0,11436.42,-3.2737372806168037,5.5
6,11183.36,-2.21,False,37.0,10494.3,-6.161475620922525,6.166666666666667
7,9925.13,-5.42,True,9.0,9881.83,-0.43626632598262466,1.5
8,11388.96,15.25,False,37.0,10328.39,-9.312263806352817,6.166666666666667
11,10294.56,6.82,True,17.0,10240.29,-0.5271716323961259,2.8333333333333335
14,9059.14,9.69,True,5.0,9272.2,2.351878875919804,0.8333333333333334
17,9740.55,6.25,True,11.0,9825.2,0.869047435719764,1.8333333333333333
19,8736.49,0.43,True,16.0,7931.96,-9.20884703124481,2.6666666666666665
21,8617.99,-6.1,False,45.0,9707.65,12.64401559992527,7.5
23,9644.28,5.77,True,4.0,9627.9,-0.1698416055942073,0.6666666666666666
25,11065.27,20.51,False,43.0,11892.26,7.473744427384056,7.166666666666667
28,10413.04,1.63,True,28.0,10729.41,3.0382097831180803,4.666666666666667
29,13131.64,22.39,True,12.0,13905.98,5.896750139358071,2.0
30,17601.24,26.57,True,13.0,18125.35,2.9776879356226997,2.1666666666666665
31,18314.03,1.04,True,19.0,18464.89,0.823740050660617,3.1666666666666665
32,34353.35,86.05,True,14.0,36355.58,5.8283398853387025,2.3333333333333335
33,35043.21,-3.61,True,18.0,34946.18,-0.2768867349766156,3.0
34,37900.27,8.45,True,6.0,47755.61,26.00335037191029,1.0
35,51872.19,8.62,False,41.0,51384.85,-0.9395014939604512,6.833333333333333
36,56119.92,9.21,False,31.0,58198.75,3.7042640117804906,5.166666666666667
37,60231.51,3.49,False,45.0,51094.68,-15.16951841320266,7.5
38,53175.79,4.07,True,9.0,58019.9,9.109615484791107,1.5
41,44022.75,3.6,True,4.0,47437.25,7.7562169560057015,0.6666666666666666
42,46810.14,-1.32,True,7.0,48701.13,4.039701654385135,1.1666666666666667
43,46424.86,-4.67,True,19.0,45068.75,-2.9210858147983654,3.1666666666666665
44,44805.36,-0.58,True,14.0,43662.0,-2.5518375480076503,2.3333333333333335
45,62158.95,42.36,True,19.0,62611.83,0.7285837357291343,3.1666666666666665
46,63718.13,1.77,True,17.0,59613.25,-6.442248069740901,2.8333333333333335
49,47663.23,-2.31,True,17.0,48031.78,0.7732375669882121,2.8333333333333335
51,29821.89,5.0,True,7.0,30397.1,1.928818059485831,1.1666666666666667
53,28155.15,1.57,True,16.0,27672.45,-1.7144287989941474,2.6666666666666665
54,30176.76,9.05,True,8.0,30577.55,1.32814125837234,1.3333333333333333
57,26148.4,-0.3,False,188.0,27835.37,6.451522846522148,31.333333333333332
58,33952.19,21.97,True,17.0,35058.39,3.258110890637679,2.8333333333333335
59,35362.54,0.87,True,4.0,37621.86,6.389020698173829,0.6666666666666666
60,40757.56,8.33,True,11.0,42300.23,3.7849910544203467,1.8333333333333333
61,42586.51,0.68,True,21.0,43276.24,1.6195973795457668,3.5
63,50716.24,27.78,True,7.0,55216.37,8.87315384578984,1.1666666666666667
64,61377.21,11.16,False,79.0,67738.04,10.363504629812914,13.166666666666666
65,66418.95,-1.95,True,14.0,69537.27,4.694925168193727,2.3333333333333335
66,66807.22,-3.93,True,25.0,63166.89,-5.449006858839511,4.166666666666667
67,63468.3,0.48,True,21.0,62448.58,-1.6066603327960591,3.5
68,67163.03,7.55,True,23.0,69584.73,3.6057039118098113,3.8333333333333335
75,58395.22,2.43,True,7.0,60438.15,3.4984541542955063,1.1666666666666667
76,61675.19,2.05,True,20.0,60982.85,-1.1225583577448301,3.3333333333333335
77,63526.47,4.17,True,6.0,62340.4,-1.8670484917546963,1.0
79,66377.48,3.9,True,8.0,67705.58,2.0008291968902796,1.3333333333333333
80,69235.6,2.26,True,17.0,70374.63,1.6451507605913702,2.8333333333333335
81,95848.78,36.2,True,14.0,94571.31,-1.3327973501592834,2.3333333333333335
82,97016.95,2.59,True,5.0,99450.42,2.5082936538409024,0.8333333333333334
83,100148.91,0.7,True,18.0,95897.94,-4.244649292738185,3.0
84,96398.95,0.52,True,18.0,96000.69,-0.4131372800222355,3.0
85,101888.44,6.13,True,7.0,105177.41,3.228010950015528,1.1666666666666667
89,83140.65,-5.24,True,7.0,90452.35,8.794374352377583,1.1666666666666667
91,82979.31,0.52,False,89.0,89404.48,7.7430988519909345,14.833333333333334
92,94225.76,5.39,True,11.0,96402.36,2.3099840213546763,1.8333333333333333
93,107201.01,11.2,False,49.0,105156.84,-1.9068570342760747,8.166666666666666
94,116714.91,10.99,False,36.0,118841.71,1.8222179154317155,6.0
96,117210.74,0.99,False,32.0,113883.33,-2.838826885659116,5.333333333333333
98,115605.81,4.43,True,20.0,110689.74,-4.2524419836684615,3.3333333333333335
99,118953.54,7.47,True,12.0,114280.36,-3.9285758120355165,2.0
101,109960.8,0.66,False,38.0,103081.12,-6.256484128889575,6.333333333333333
