strategy_id,failure_mode,trades,share_of_losing_trades_pct,loss_usd,share_of_total_loss_pct,median_return_pct,median_bars_held,median_mfe_r,median_mae_r,median_giveback_ratio
X0_E5EXIT,false_breakout,10,9.174311926605505,-48956.15,10.716409131759338,-3.0263862147355605,10.5,0.22913401233501401,2.3938283029629446,5.330086753668374
X0_E5EXIT,late_exit_giveback,32,29.357798165137616,-62918.7,13.772784523515625,-1.0041619937524227,25.0,2.9518663639783336,1.3053261674549737,1.2171508397364317
X0_E5EXIT,other_loss,22,20.18348623853211,-98327.06,21.523608046009713,-3.837075996270556,8.5,0.18700658406879572,3.30919785409192,12.344770276159949
X0_E5EXIT,slow_trend_reversal,3,2.7522935779816518,-11644.73,2.5490090183580856,-2.477486028781939,14.0,0.48360101012985074,2.2184848997139315,3.217175920557524
X0_E5EXIT,trail_stop_noise,42,38.53211009174312,-234986.91,51.438189280357236,-3.6561574221264936,22.0,1.4246039231827368,2.3108920703808584,2.476072094551966
X0E5_LL30,false_breakout,13,11.11111111111111,-55700.03,12.04966755123964,-1.7367680791881002,2.0,0.2323595613597563,2.07946525911337,5.256951215213384
X0E5_LL30,late_exit_giveback,35,29.914529914529915,-60946.26,13.184591644481102,-1.0402674993022165,25.0,2.8714979254864645,1.3392247113946565,1.2439061225244719
X0E5_LL30,other_loss,27,23.076923076923077,-125285.33,27.10315444955786,-3.518854214499767,7.0,0.18401519963592192,2.405765826345254,8.498550577744327
X0E5_LL30,slow_trend_reversal,2,1.7094017094017095,-9161.4,1.9818979531198506,-2.8545239071172848,13.5,0.4333320119158978,2.1810152197545536,4.585647356343545
X0E5_LL30,trail_stop_noise,40,34.18803418803419,-211160.67,45.68068840160155,-2.9945247146508205,22.0,1.4246039231827299,2.2280775438511196,2.3512412391163022
X0E5_FLOOR_SM,false_breakout,13,11.11111111111111,-55700.03,12.04966755123964,-1.7367680791881002,2.0,0.2323595613597563,2.07946525911337,5.256951215213384
X0E5_FLOOR_SM,late_exit_giveback,35,29.914529914529915,-60946.26,13.184591644481102,-1.0402674993022165,25.0,2.8714979254864645,1.3392247113946565,1.2439061225244719
X0E5_FLOOR_SM,other_loss,27,23.076923076923077,-125285.33,27.10315444955786,-3.518854214499767,7.0,0.18401519963592192,2.405765826345254,8.498550577744327
X0E5_FLOOR_SM,slow_trend_reversal,2,1.7094017094017095,-9161.4,1.9818979531198506,-2.8545239071172848,13.5,0.4333320119158978,2.1810152197545536,4.585647356343545
X0E5_FLOOR_SM,trail_stop_noise,40,34.18803418803419,-211160.67,45.68068840160155,-2.9945247146508205,22.0,1.4246039231827299,2.2280775438511196,2.3512412391163022
X0E5_FLOOR_LATCH,false_breakout,13,11.11111111111111,-56077.9,12.09128930908214,-1.7367680791881002,2.0,0.2323595613597563,2.07946525911337,5.256951215213384
X0E5_FLOOR_LATCH,late_exit_giveback,35,29.914529914529915,-61272.08,13.21123765316203,-1.0402674993022165,25.0,2.8714979254864645,1.3392247113946565,1.2439061225244719
X0E5_FLOOR_LATCH,other_loss,27,23.076923076923077,-124999.0,26.95177551188916,-3.518854214499767,6.0,0.18401519963592192,2.405765826345254,8.498550577744327
X0E5_FLOOR_LATCH,slow_trend_reversal,2,1.7094017094017095,-9219.57,1.9878867986903919,-2.8545239071172848,13.5,0.4333320119158978,2.1810152197545536,4.585647356343545
X0E5_FLOOR_LATCH,trail_stop_noise,40,34.18803418803419,-212219.06,45.75781072717627,-2.9945247146508205,22.0,1.4246039231827368,2.2280775438511196,2.3512412391163022
