metric,observed_candidate,observed_reference,observed_delta,mean_delta,ci_lower,ci_upper,p_candidate_better,block_size,n_bootstrap
sharpe,1.4530565913572309,1.4544944288208077,-0.001437837463576841,-0.0019117714618476214,-0.09907365623730358,0.09688391139581658,0.4765,20,2000
cagr_pct,61.07416909325241,61.547618489431244,-0.47344939617883597,-0.5314543793168632,-6.735262565806731,5.510461186843792,0.4355,20,2000
neg_mdd,-36.15342266792597,-40.96674859250601,4.813325924580035,0.14009511163410002,-4.712772544942152,4.8637198922095015,0.5225,20,2000
