metric,observed_candidate,observed_reference,observed_delta,mean_delta,ci_lower,ci_upper,p_candidate_better,block_size,n_bootstrap
sharpe,1.4560155704016953,1.4544944288208077,0.001521141580887564,0.0012084149424103359,-0.09627844781287752,0.10048361102548102,0.509,20,2000
cagr_pct,61.227895185367444,61.547618489431244,-0.3197233040637997,-0.36801880275177334,-6.525757305948548,5.684113030060401,0.464,20,2000
neg_mdd,-35.4596533167863,-40.96674859250601,5.507095275719706,0.20533401104107463,-4.669630925546612,4.903700559951697,0.5435,20,2000
