strategy,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,total_return_pct,avg_exposure_pct
X0_E5EXIT,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,6070.93,0.44
X0_E5EXIT,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,4299.32,0.44
X0_E5EXIT,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,2977.9,0.44
X0E5_LL30,smart,1.7219,78.26,30.65,2.5534,195,43.08,1.9396,6101.43,0.44
X0E5_LL30,base,1.5913,69.71,33.23,2.0975,195,41.03,1.7766,4265.7,0.44
X0E5_LL30,harsh,1.4531,61.13,36.15,1.6908,195,40.0,1.6304,2914.03,0.44
X0E5_FLOOR_SM,smart,1.7219,78.26,30.65,2.5534,195,43.08,1.9396,6101.43,0.44
X0E5_FLOOR_SM,base,1.5913,69.71,33.23,2.0975,195,41.03,1.7766,4265.7,0.44
X0E5_FLOOR_SM,harsh,1.4531,61.13,36.15,1.6908,195,40.0,1.6304,2914.03,0.44
X0E5_FLOOR_LATCH,smart,1.725,78.43,30.65,2.5589,195,43.08,1.9426,6143.84,0.44
X0E5_FLOOR_LATCH,base,1.5943,69.87,32.51,2.1493,195,41.03,1.7793,4295.56,0.44
X0E5_FLOOR_LATCH,harsh,1.456,61.28,35.46,1.7282,195,40.0,1.6328,2934.65,0.44
