slice,strategy,candidate_id,scenario,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,total_return_pct
full,reference,,smart,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,0.4448,6070.93
full,candidate,X0E5_LL30,smart,1.7219,78.26,30.65,2.5534,195,43.08,1.9396,0.4383,6101.43
full,candidate,X0E5_FLOOR_LATCH,smart,1.725,78.43,30.65,2.5589,195,43.08,1.9426,0.4378,6143.84
full,reference,,base,1.587,69.89,37.5,1.8636,188,43.09,1.7994,0.4448,4299.32
full,candidate,X0E5_LL30,base,1.5913,69.71,33.23,2.0975,195,41.03,1.7766,0.4383,4265.7
full,candidate,X0E5_FLOOR_LATCH,base,1.5943,69.87,32.51,2.1493,195,41.03,1.7793,0.4378,4295.56
full,reference,,harsh,1.4545,61.6,40.97,1.5037,188,42.02,1.6519,0.4448,2977.9
full,candidate,X0E5_LL30,harsh,1.4531,61.13,36.15,1.6908,195,40.0,1.6304,0.4383,2914.03
full,candidate,X0E5_FLOOR_LATCH,harsh,1.456,61.28,35.46,1.7282,195,40.0,1.6328,0.4378,2934.65
