strategy_id,trade_id,entry_ts,exit_ts,entry_price,exit_price,bars_held,days_held,pnl_usd,return_pct,exit_reason,entry_reason,entry_er30,entry_context,entry_d1_regime,entry_atr,entry_vdo,entry_ema_spread_atr,entry_price_to_slow_atr,mfe_pct,mae_pct,mfe_r,mae_r,realized_r,giveback_r,giveback_ratio,peak_time,peak_to_exit_bars,mae_before_mfe_first6,first_6_bar_mfe_r,first_6_bar_mae_r,failure_mode,is_winner
X0_E5EXIT,1,2019-01-05T04:00:00Z,2019-01-10T08:00:00Z,3819.166304,3773.763404,31,5.167,-148.48,-1.1888,x0_trail_stop,x0_entry,0.097931,chop,on,60.91098,0.00858,0.057385,0.813927,6.5625,-2.3083,4.114754,1.447297,-0.745398,4.860152,1.181152,2019-01-08T12:00:00Z,11,False,0.358288,1.299705,late_exit_giveback,False
X0_E5EXIT,2,2019-02-09T20:00:00Z,2019-02-24T16:00:00Z,3657.214473,3774.482685,89,14.833,285.43,3.2065,x0_trail_stop,x0_entry,0.343575,transition,on,43.093117,0.008955,0.076486,3.34194,14.7868,-2.4364,12.549232,2.067719,2.721275,9.827957,0.783152,2019-02-24T00:00:00Z,4,False,0.389518,1.101208,winner,True
X0_E5EXIT,3,2019-02-27T20:00:00Z,2019-03-04T08:00:00Z,3817.054193,3723.273932,27,4.5,-278.67,-2.4569,x0_trail_stop,x0_entry,0.152823,chop,on,48.77318,0.003123,1.66656,0.89411,1.8587,-3.6647,1.454607,2.868056,-1.922783,3.37739,2.321858,2019-02-28T12:00:00Z,23,True,1.454607,2.868056,trail_stop_noise,False
X0_E5EXIT,4,2019-03-06T12:00:00Z,2019-03-12T08:00:00Z,3866.413516,3830.856269,35,5.833,-119.92,-0.9196,x0_trail_stop,x0_entry,0.069542,chop,on,44.699768,0.002167,0.360021,1.760155,2.7244,-1.7177,2.356533,1.485769,-0.795468,3.152001,1.337559,2019-03-09T16:00:00Z,16,True,0.872185,0.828271,late_exit_giveback,False
X0_E5EXIT,5,2019-03-13T04:00:00Z,2019-03-25T16:00:00Z,3891.778862,3958.958071,75,12.5,138.43,1.7262,x0_trail_stop,x0_entry,0.025798,chop,on,37.120681,0.003301,1.142411,1.489676,4.562,-2.0903,4.782809,2.19147,1.809752,2.973058,0.621613,2019-03-21T12:00:00Z,25,False,-0.002124,1.394879,winner,True
X0_E5EXIT,6,2019-03-26T04:00:00Z,2019-04-04T00:00:00Z,3940.077124,4927.658643,53,8.833,2438.62,25.065,x0_trail_stop,x0_entry,0.311039,transition,on,32.738147,0.001121,1.248354,0.027285,33.8809,-1.1694,40.776067,1.407444,30.166079,10.609988,0.260201,2019-04-03T20:00:00Z,1,True,1.799823,1.407444,winner,True
X0_E5EXIT,7,2019-04-05T16:00:00Z,2019-04-11T12:00:00Z,4971.467742,4996.01024,35,5.833,23.72,0.4937,x0_trail_stop,x0_entry,0.463595,trend,on,125.041724,0.001885,3.565483,5.587972,9.0624,-0.8945,3.603055,0.355623,0.196274,3.406781,0.945526,2019-04-10T16:00:00Z,5,True,1.01192,0.171525,winner,True
X0_E5EXIT,8,2019-04-12T16:00:00Z,2019-04-26T00:00:00Z,5042.488709,5215.250835,80,13.333,384.53,3.4261,x0_trail_stop,x0_entry,0.05851,chop,on,107.348396,7.3e-05,3.584369,3.212386,11.0563,-1.8342,5.193476,0.861575,1.609359,3.584117,0.690119,2019-04-23T04:00:00Z,17,True,0.526429,0.368415,winner,True
X0_E5EXIT,9,2019-04-27T00:00:00Z,2019-05-12T16:00:00Z,5320.316329,6835.659211,94,15.667,3575.01,28.4822,x0_trail_stop,x0_entry,0.041119,chop,on,107.613509,0.010069,1.892819,1.603646,41.3784,-2.6599,20.457131,1.315042,14.081344,6.375787,0.311666,2019-05-12T08:00:00Z,2,True,0.206142,0.582142,winner,True
X0_E5EXIT,10,2019-05-13T12:00:00Z,2019-05-14T20:00:00Z,7232.467046,7730.513685,8,1.333,1070.18,6.8863,x0_trail_stop,x0_entry,0.415648,transition,on,244.825457,0.001316,2.998918,5.294606,15.6728,-0.4084,4.629964,0.120645,2.034293,2.595671,0.560624,2019-05-14T08:00:00Z,3,True,4.629964,0.120645,winner,True
