cycle,phase,client_order_id,side,expected_mid,fill_price,slippage_bps,qty
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67334.36,122.58,0.0002
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67311.82,125.89,0.00146
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67300.21,127.59,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67290.77,128.98,0.00118
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67288.37,129.33,0.51826
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67287.22,129.5,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67271.24,131.84,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67241.78,136.17,0.0578
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67235.93,137.02,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67232.98,137.46,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67223.56,138.84,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67206.3,141.37,0.02101
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67200.0,142.29,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67200.0,142.29,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67199.55,142.36,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67165.81,147.31,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67165.31,147.38,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67121.73,153.78,0.00029
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67100.0,156.96,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67098.72,157.15,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67059.38,162.92,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67041.78,165.5,0.0578
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67033.0,166.79,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67031.68,166.99,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67025.93,167.83,0.00119
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67015.65,169.34,0.00742
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67000.0,171.63,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67000.0,171.63,0.00987
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66987.17,173.51,0.00201
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66964.72,176.81,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66953.46,178.46,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66900.0,186.3,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66900.0,186.3,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66897.82,186.62,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66847.53,194.0,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66841.78,194.84,0.0578
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66834.71,195.88,0.02113
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66830.99,196.43,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66830.08,196.56,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0183
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0126
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0099
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.01454
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0186
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.03674
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0253
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0121
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.01794
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0227
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66813.37,199.01,0.0164
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66800.0,200.97,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66764.23,206.22,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66758.9,207.0,0.00119
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66750.0,208.31,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66741.6,209.54,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66729.98,211.24,0.00013
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66712.31,213.83,8e-05
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66700.0,215.64,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66697.53,216.0,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66666.67,220.53,0.0003
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66641.78,224.18,0.0578
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66635.67,225.08,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66627.15,226.33,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66600.0,230.31,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66529.74,240.62,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66523.59,241.52,0.00203
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66514.78,242.81,0.00749
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66500.0,244.98,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66490.79,246.33,0.0012
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66450.0,252.31,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66423.81,256.16,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66400.0,259.65,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66385.17,261.82,0.62049
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66349.23,267.1,0.0003
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66317.88,271.69,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66300.0,274.32,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66300.0,274.32,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66227.38,284.97,0.00075
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66213.04,287.07,0.0012
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66211.95,287.23,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66200.0,288.99,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66150.0,296.32,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66138.03,298.08,8e-05
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66106.02,302.77,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66100.0,303.66,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66060.01,309.52,0.00204
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66001.67,318.08,0.00755
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66000.09,318.31,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66000.0,318.32,0.00987
4,planner,0210c8d9b2057e390c60,SELL,68170.02,66000.0,318.32,0.00493
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65981.84,320.99,0.19625
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65949.2,325.78,0.00121
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65731.83,357.66,0.001
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65596.43,377.53,0.00206
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65576.73,380.42,0.0003
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65563.75,382.32,8e-05
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65542.77,385.4,0.00152
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65534.86,386.56,0.00759
4,planner,0210c8d9b2057e390c60,SELL,68170.02,65481.97,394.32,0.20552
