cycle,phase,client_order_id,side,expected_mid,fill_price,slippage_bps,qty
0,planner,255201f190fae87b320d,BUY,68170.02,68170.02,0.0,5.01084
1,planner,05158c4a77410bd86dea,BUY,68170.01,68170.02,0.0,0.00776
2,planner,2156f3b25b01d12b8426,SELL,68170.01,68166.97,0.45,5.0186
3,planner,99595a4f0f333f3f06da,BUY,68170.02,68166.98,-0.45,5.01062
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68166.97,0.45,1.13155
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68166.96,0.45,0.0016
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68166.5,0.52,0.00096
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68166.49,0.52,0.03232
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68166.0,0.59,0.00036
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68165.98,0.59,0.00036
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68165.04,0.73,0.012
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68165.01,0.73,0.00032
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68164.33,0.83,0.00032
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68164.32,0.84,0.00032
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68163.82,0.91,0.00032
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68163.45,0.96,0.00032
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68163.44,0.97,0.00036
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68163.29,0.99,0.01858
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68162.52,1.1,0.15779
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68162.51,1.1,0.52863
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68161.52,1.25,0.00032
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68161.51,1.25,0.00064
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68161.34,1.27,0.00122
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68160.96,1.33,0.00068
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68130.65,5.78,0.00059
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68119.43,7.42,0.0002
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68111.24,8.62,0.00041
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68110.08,8.79,0.0058
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68110.08,8.79,0.0127
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68107.47,9.18,0.01975
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68104.78,9.57,0.00146
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68077.32,13.6,0.01
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68055.51,16.8,0.00041
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68044.24,18.45,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,68017.68,22.35,0.15821
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67999.77,24.97,0.00041
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67976.26,28.42,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67955.69,31.44,0.02078
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67908.35,38.38,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67885.68,41.71,0.0003
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67843.49,47.9,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67841.78,48.15,0.0578
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67840.51,48.34,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67830.23,49.84,0.00117
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67826.1,50.45,0.006
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67800.0,54.28,0.00148
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67785.1,56.46,0.004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67782.9,56.79,0.001
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67776.6,57.71,0.002
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67774.56,58.01,0.53587
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67772.74,58.28,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67705.03,68.21,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67701.95,68.66,0.00013
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67700.0,68.95,0.00185
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67672.69,72.95,0.0004
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67649.32,76.38,0.00012
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67641.1,77.59,0.002
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67640.6,77.66,0.005
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67639.96,77.76,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67638.4,77.98,0.002
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67637.39,78.13,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67596.72,84.1,0.00016
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67579.96,86.56,0.0209
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67579.5,86.62,0.001
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67569.82,88.04,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67559.96,89.49,0.00117
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67544.17,91.81,0.00013
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67533.9,93.31,0.001
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67502.32,97.95,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67500.0,98.29,0.00185
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67491.65,99.51,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67441.78,106.83,0.0578
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67439.18,107.21,0.00055
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67438.25,107.34,0.00022
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67434.88,107.84,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67400.0,112.96,0.00185
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67367.51,117.72,0.00014
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67360.09,118.81,0.00736
4,planner,0210c8d9b2057e390c60,SELL,68170.02,67350.0,120.29,0.00148
