cycle,phase,time_iso,bar_close_ts_ms,btc_price,nav_usdt,exposure,btc_free,usdt_free,target_exposure,action,client_order_id,fill_price,fill_qty,order_status,plan_side,plan_qty,plan_reason
0,planner,2026-03-09T09:33:33Z,1773048813557,68170.02,342118.91,0.0,0.0,342118.9094654,1.0,BUY,255201f190fae87b320d,68170.02,5.01084,FILLED,BUY,5.01084000,buy
1,planner,2026-03-09T09:33:34Z,1773048814619,68170.01,342118.86,0.998451,5.01084,529.8464486,1.0,BUY,05158c4a77410bd86dea,68170.02,0.00776,FILLED,BUY,0.00776000,buy
2,planner,2026-03-09T09:33:35Z,1773048815686,68170.01,342118.86,0.999998,5.0186,0.8470934,0.0,SELL,2156f3b25b01d12b8426,68166.97,5.0186,FILLED,SELL,5.01860000,sell
3,planner,2026-03-09T09:33:36Z,1773048816735,68170.02,342103.6,0.0,0.0,342103.6027354,1.0,BUY,99595a4f0f333f3f06da,68166.98,5.01062,FILLED,BUY,5.01062000,buy
4,planner,2026-03-09T09:33:37Z,1773048817784,68170.02,342118.84,0.998408,5.01062,544.7694078,0.0,SELL,0210c8d9b2057e390c60,68166.97,5.01062,FILLED,SELL,5.01062000,sell
5,planner,2026-03-09T09:33:38Z,1773048818865,68166.97,338355.21,0.0,0.0,338355.212159,0.0,HOLD,,,,,HOLD,0.00000000,below_min_notional
final,reconcile,2026-03-09T09:33:39Z,1773048819381,68166.97,338355.21,0.000201,0.001,338287.045179,,RECONCILE,,,,,,,
