cycle,side,qty,est_fill_price,notional,reason,nav_usdt,target_exposure,current_exposure,delta_value
0,BUY,5.01084,68275.683531,342118.52606447606,buy,342118.9094654,1.0,0.0,342118.9094654
1,BUY,0.00776,68275.67351549999,529.81922648028,buy,342118.859357,1.0,0.9984512796237078,529.8464486000012
2,SELL,5.0186,68064.3464845,341587.7292671117,sell,342118.8592794,0.0,0.999997523979234,-342118.012186
3,BUY,5.01062,68275.683531,342103.50541409926,buy,342103.6027354,1.0,0.0,342103.6027354
4,SELL,5.01062,68064.356469,341044.6258107008,sell,342118.83502020006,0.0,0.9984076602863218,-341574.06561240007
5,HOLD,0.0,68166.97,0.0,below_min_notional,338355.212159,0.0,0.0,0.0
