signal,measurement,operator,role,rule_type,natural_center,aggregate_sharpe,aggregate_cagr,aggregate_mdd,delta_sharpe_vs_base_exit,positive_folds_vs_base_exit,avg_cont_decisions,avg_selected_threshold,positive_folds_vs_price_model,pass_vs_base_exit,pass_vs_price_model
ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,train_threshold,0.0,1.216249842285937,0.3871846387237934,-0.3362750441677922,0.08549004231373436,3,4.5,-0.006293402186228885,1,True,False
ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,train_threshold,0.0,1.2112165856524948,0.38776037577114786,-0.31579548731515394,0.08045678568029224,3,5.75,-0.003405095714544285,1,True,False
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,stateful,fixed_natural,0.0,1.2006125678148614,0.38050275871378236,-0.33664553331805,0.06985276784265881,3,3.0,,1,True,False
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,fixed_natural,0.0,1.2006125678148614,0.38050275871378236,-0.33664553331805,0.06985276784265881,3,3.0,,1,True,False
ema12_net_quote_norm_28,net_quote_norm_28,ema12,stateful,fixed_natural,0.0,1.1976153943477974,0.3785541189291437,-0.34273461585583365,0.06685559437559485,4,3.5,,1,True,False
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,fixed_natural,0.0,1.193479787112903,0.37965896389210196,-0.34828084892416544,0.06271998714070048,4,3.75,,2,True,False
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,stateful,fixed_natural,0.0,1.193479787112903,0.37965896389210196,-0.34828084892416544,0.06271998714070048,4,3.75,,2,True,False
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,train_threshold,0.0,1.1903375128799931,0.3774873630757296,-0.38586129562327953,0.05957771290779057,3,1.0,0.006893196429220174,2,True,False
ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,fixed_natural,0.0,1.1860936003774942,0.3760951073369998,-0.3204996452635237,0.05533380040529168,3,5.0,,1,True,False
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,one_shot,train_threshold,0.0,1.179217505043243,0.37291517600688917,-0.38586129562327953,0.04845770507104041,3,1.25,0.0032242277123549277,2,True,False
imbalance_ratio_quote,imbalance_ratio_quote,level,one_shot,fixed_natural,0.0,1.1715034272432896,0.37017555449809825,-0.3461538350128418,0.040743627271087046,3,3.25,,1,True,False
net_quote_norm_28,net_quote_norm_28,level,one_shot,fixed_natural,0.0,1.1715034272432896,0.37017555449809825,-0.3461538350128418,0.040743627271087046,3,3.25,,1,True,False
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,one_shot,fixed_natural,0.0,1.170115723296816,0.3700543936411058,-0.3975756180890371,0.03935592332461346,2,3.0,,1,False,False
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,fixed_natural,0.0,1.170115723296816,0.3700543936411058,-0.3975756180890371,0.03935592332461346,2,3.0,,1,False,False
imbalance_ratio_base,imbalance_ratio_base,level,one_shot,fixed_natural,0.0,1.1628832788765109,0.3664895758470301,-0.3461538350128418,0.032123478904308334,3,3.0,,1,True,False
imbalance_ratio_base,imbalance_ratio_base,level,stateful,fixed_natural,0.0,1.1518638379535149,0.35845094499778773,-0.34259657219978,0.02110403798131233,3,3.0,,1,True,False
ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,fixed_natural,0.0,1.1427229317343095,0.3583000565542298,-0.39993310612237765,0.011963131762106949,2,3.5,,0,False,False
imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,fixed_natural,0.0,1.1426326524042187,0.35442587933659975,-0.34259657219978,0.01187285243201619,2,3.25,,1,False,False
net_quote_norm_28,net_quote_norm_28,level,stateful,fixed_natural,0.0,1.1426326524042187,0.35442587933659975,-0.34259657219978,0.01187285243201619,2,3.25,,1,False,False
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,one_shot,train_threshold,1.0,1.1370321839608994,0.3583735421694274,-0.3667419216592881,0.006272383988696895,1,4.5,1.0844336304352793,2,False,False
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,train_threshold,0.0,1.1363966358813362,0.3554872936118081,-0.3636527736047752,0.005636835909133664,2,5.25,-0.0025254678414395595,1,False,False
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,stateful,train_threshold,0.0,1.1363966358813362,0.3554872936118081,-0.3636527736047752,0.005636835909133664,2,5.25,-0.0026397606036199952,1,False,False
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,stateful,fixed_natural,1.0,1.1307597999722026,0.3503025443385246,-0.37093930671517117,0.0,0,0.0,,1,False,False
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,one_shot,fixed_natural,1.0,1.1307597999722026,0.3503025443385246,-0.37093930671517117,0.0,0,0.0,,1,False,False
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,train_threshold,0.0,1.1307597999722026,0.3503025443385246,-0.37093930671517117,0.0,0,0.0,,1,False,False
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,train_threshold,0.0,1.1307597999722026,0.3503025443385246,-0.37093930671517117,0.0,0,0.0,,1,False,False
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,one_shot,train_threshold,1.0,1.1292539170937712,0.3512852261775017,-0.37093930671517106,-0.0015058828784313416,1,3.25,1.1807870229576423,1,False,False
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,stateful,fixed_natural,0.0,1.1250789997180128,0.34702089221204035,-0.3344599384569915,-0.005680800254189711,2,2.75,,1,False,False
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,one_shot,train_threshold,,1.1247009266558978,0.3620797999953216,-0.4238310452860973,-0.006058873316304725,2,16.5,1.0,2,False,False
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,one_shot,train_threshold,,1.1247009266558978,0.3620797999953216,-0.4238310452860973,-0.006058873316304725,2,16.5,1.0,2,False,False
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,fixed_natural,0.0,1.1133481021130316,0.34093169517952426,-0.34574879150465077,-0.01741169785917096,2,5.25,,2,False,False
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,stateful,fixed_natural,0.0,1.1133481021130316,0.34093169517952426,-0.34574879150465077,-0.01741169785917096,2,5.25,,2,False,False
