sharpe,cagr_pct,max_dd_pct,trades,win_rate_pct,profit_factor,avg_exposure,avg_days_held,sortino,calmar,final_nav,total_return_pct,years,strategy
1.4956,55.53,37.34,211,56.87,2.0269,0.3383,4.18,1.2301,1.4873,234162.38,2241.62,7.14,V3
1.7885,77.77,33.58,197,48.22,1.8332,0.4028,5.33,1.5744,2.3159,608182.47,5981.82,7.14,V4
1.6635,74.88,36.3,188,44.15,1.8965,0.4448,6.17,1.5342,2.0629,541000.25,5310.0,7.14,E5+EMA21D1
