sharpe,cagr_pct,max_dd_pct,trades,win_rate_pct,profit_factor,avg_exposure,avg_days_held,sortino,calmar,final_nav,total_return_pct,years,window,strategy
-1.3621,-33.34,22.88,8,37.5,0.2914,0.1667,3.83,-0.8159,-1.4571,8153.43,-18.47,0.5,2019-07,V3
-1.4845,-39.13,32.13,10,20.0,0.2675,0.1884,3.47,-0.9539,-1.2176,7789.41,-22.11,0.5,2019-07,V4
-1.4027,-39.16,32.15,11,18.18,0.285,0.2138,3.58,-0.9741,-1.2179,7787.42,-22.13,0.5,2019-07,E5+EMA21D1
1.4526,61.72,21.82,20,45.0,1.643,0.4222,3.84,1.3197,2.8285,12703.8,27.04,0.5,2020-01,V3
1.5209,78.05,16.49,16,43.75,1.8866,0.478,5.44,1.3354,4.7319,13326.75,33.27,0.5,2020-01,V4
1.469,76.2,20.02,16,43.75,1.8224,0.5366,6.1,1.3604,3.8056,13257.85,32.58,0.5,2020-01,E5+EMA21D1
2.3631,124.58,24.09,21,52.38,2.0794,0.4574,3.95,2.5509,5.1711,15026.31,50.26,0.5,2020-07,V3
5.0728,683.23,16.24,16,56.25,6.1411,0.6205,6.57,6.4908,42.0632,28177.4,181.77,0.5,2020-07,V4
4.8719,681.42,16.93,13,53.85,5.1034,0.6295,7.29,5.9921,40.2595,28144.71,181.45,0.5,2020-07,E5+EMA21D1
0.8001,33.52,28.44,16,56.25,1.2298,0.3748,4.24,0.6645,1.1785,11538.55,15.39,0.5,2021-01,V3
1.2615,79.06,25.63,15,40.0,1.4841,0.4411,5.32,1.1979,3.0844,13343.1,33.43,0.5,2021-01,V4
1.7344,139.88,23.3,13,38.46,1.9197,0.4797,6.68,1.7713,6.0029,15421.63,54.22,0.5,2021-01,E5+EMA21D1
2.6356,165.52,17.56,15,66.67,2.553,0.3451,4.23,2.6902,9.4277,16347.39,63.47,0.5,2021-07,V3
2.4233,158.79,17.72,14,57.14,2.3094,0.3841,5.05,2.3441,8.96,16137.54,61.38,0.5,2021-07,V4
2.2788,152.81,17.72,12,50.0,2.7483,0.4275,6.56,2.3126,8.6228,15948.91,59.49,0.5,2021-07,E5+EMA21D1
1.0162,19.71,16.86,6,50.0,1.6555,0.1436,4.33,0.6329,1.1692,10931.69,9.32,0.5,2022-01,V3
-0.234,-5.82,13.33,6,33.33,0.7869,0.1639,4.94,-0.147,-0.4366,9707.48,-2.93,0.5,2022-01,V4
0.0949,-0.05,13.71,5,40.0,0.9978,0.1694,6.13,0.0636,-0.0039,9997.39,-0.03,0.5,2022-01,E5+EMA21D1
0.0582,-0.44,9.94,7,42.86,0.9506,0.1712,4.5,0.0332,-0.0445,9977.69,-0.22,0.5,2022-07,V3
0.1433,0.92,9.14,8,50.0,1.0904,0.1929,4.44,0.0889,0.101,10046.37,0.46,0.5,2022-07,V4
-1.5564,-37.76,30.57,14,28.57,0.207,0.2708,3.56,-1.0094,-1.2351,7877.01,-21.23,0.5,2022-07,E5+EMA21D1
0.3324,5.42,27.58,14,35.71,1.0624,0.2901,3.48,0.2401,0.1964,10264.54,2.65,0.5,2023-01,V3
1.5913,53.06,21.71,14,35.71,1.6267,0.3996,5.05,1.391,2.4445,12345.83,23.46,0.5,2023-01,V4
0.8911,29.1,30.63,17,29.41,1.2594,0.5074,5.3,0.8336,0.9499,11347.95,13.48,0.5,2023-01,E5+EMA21D1
3.1596,114.04,9.3,17,70.59,7.485,0.4284,4.64,3.1251,12.2566,14667.15,46.67,0.5,2023-07,V3
3.5866,160.39,8.26,15,53.33,7.3796,0.5444,6.34,4.2338,19.418,16187.87,61.88,0.5,2023-07,V4
2.4685,93.49,8.31,14,42.86,5.5803,0.5598,6.99,2.8034,11.2543,13940.31,39.4,0.5,2023-07,E5+EMA21D1
1.985,86.31,11.57,18,55.56,1.9175,0.3901,3.94,1.6993,7.4584,13631.14,36.31,0.5,2024-01,V3
2.1328,98.67,15.98,16,62.5,2.6563,0.5009,5.7,2.0306,6.1738,14074.05,40.74,0.5,2024-01,V4
1.3882,53.8,19.69,16,50.0,1.8005,0.5266,5.99,1.3187,2.7316,12389.88,23.9,0.5,2024-01,E5+EMA21D1
3.6317,207.64,11.23,17,76.47,6.4245,0.423,4.58,3.8276,18.4833,17605.13,76.05,0.5,2024-07,V3
1.8843,73.72,13.36,17,52.94,1.8451,0.4755,5.15,1.9681,5.517,13204.24,32.04,0.5,2024-07,V4
2.4902,126.89,11.15,15,60.0,4.0524,0.5408,6.63,2.9,11.3849,15103.59,51.04,0.5,2024-07,E5+EMA21D1
0.7395,13.51,18.69,28,46.43,1.3666,0.2897,4.3,0.5792,0.7226,11551.72,15.52,1.14,2025-01,V3
0.1275,0.55,16.34,30,43.33,1.0153,0.3285,4.56,0.1066,0.0338,10062.99,0.63,1.14,2025-01,V4
0.4226,6.95,12.71,26,46.15,1.2277,0.3474,5.56,0.3675,0.5462,10794.44,7.94,1.14,2025-01,E5+EMA21D1
