strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,time_in_market_pct,avg_days_held,turnover_per_year
E0,smart,1.5205,67.95,38.51,1.7646,192,42.19,1.7619,0.4682,46.82,6.36,52.26
E0,base,1.3964,60.01,40.04,1.4989,192,40.62,1.6273,0.4682,46.82,6.36,52.28
E0,harsh,1.2653,52.04,41.61,1.2507,192,38.02,1.5057,0.4682,46.82,6.36,52.28
X7,smart,1.0094,30.51,41.38,0.7374,129,41.09,1.5734,0.3046,30.46,6.16,35.97
X7,base,0.905,26.34,45.84,0.5745,129,40.31,1.464,0.3046,30.46,6.16,36.03
X7,harsh,0.7947,22.07,50.18,0.4398,129,38.76,1.3652,0.3046,30.46,6.16,36.09
