scenario,d_sharpe,d_cagr_pct,d_mdd_pct,d_trades,d_win_rate_pct,d_avg_days_held
smart,-0.5110999999999999,-37.44,2.8700000000000045,-63,-1.0999999999999943,-0.20000000000000018
base,-0.49140000000000006,-33.67,5.800000000000004,-63,-0.30999999999999517,-0.20000000000000018
harsh,-0.47060000000000013,-29.97,8.57,-63,0.7399999999999949,-0.20000000000000018
