ema_ratio,bars_held,atr_pctl,bar_range_atr,dd_from_peak,bars_since_peak,close_position,vdo_at_exit,d1_regime_str,trail_tightness,label
1.046682,14.000000,0.240000,1.381234,0.057493,10.000000,0.026030,-0.011340,0.026801,0.057511,1
1.016708,49.000000,0.020000,1.026900,0.050420,22.000000,0.266675,0.001152,0.008237,0.050435,1
1.038736,33.000000,0.770000,0.696787,0.058430,19.000000,0.326923,-0.010701,0.036570,0.058292,1
1.019617,6.000000,0.710000,2.631132,0.073413,4.000000,0.151860,-0.006658,0.008948,0.059813,0
1.003064,16.000000,0.240000,1.294379,0.048845,6.000000,0.594408,-0.006901,0.012669,0.050643,0
1.043688,41.000000,0.670000,0.702538,0.062811,12.000000,0.501456,-0.007620,0.028248,0.065459,1
1.032240,16.000000,0.550000,2.043066,0.058804,10.000000,0.137409,-0.016116,0.044369,0.057462,0
1.028015,18.000000,0.610000,1.220222,0.083899,16.000000,0.112459,-0.010015,0.036224,0.077511,0
1.064747,85.000000,0.530000,1.460158,0.049510,18.000000,0.082577,-0.014251,0.077908,0.044743,1
1.027721,29.000000,0.970000,1.701048,0.054413,8.000000,0.357484,-0.006730,0.020982,0.051683,0
1.045042,26.000000,0.730000,1.164672,0.080467,17.000000,0.025293,-0.003320,0.043441,0.077248,1
1.024734,12.000000,0.620000,1.978253,0.067237,8.000000,0.060298,-0.006239,0.032691,0.071870,1
1.038951,28.000000,0.270000,1.061029,0.064230,13.000000,0.205129,-0.005530,0.037796,0.062206,1
1.021457,36.000000,0.160000,1.330075,0.045151,7.000000,0.454477,-0.004484,0.041987,0.045166,1
1.020281,43.000000,0.390000,1.107423,0.059559,20.000000,0.160107,0.000117,0.016043,0.050849,0
1.026586,12.000000,1.000000,3.891607,0.075167,1.000000,0.038462,0.003639,0.068412,0.075795,1
1.007884,16.000000,0.090000,0.985143,0.044035,10.000000,0.486249,-0.001724,0.013692,0.044838,0
1.021591,47.000000,0.640000,0.906419,0.036872,26.000000,0.412737,-0.001805,0.024610,0.036570,1
1.027827,25.000000,0.370000,1.353725,0.037719,13.000000,0.075476,-0.002782,0.029594,0.032825,0
1.003280,18.000000,0.050000,0.427676,0.018415,17.000000,0.450911,0.001531,0.002884,0.018660,1
1.017561,19.000000,0.930000,1.714491,0.035034,6.000000,0.154284,-0.003767,0.035020,0.035243,0
1.071074,131.000000,0.260000,1.806610,0.046572,6.000000,0.252770,-0.001855,0.095788,0.045256,1
1.043684,30.000000,0.020000,1.537866,0.031551,21.000000,0.256544,-0.002244,0.044646,0.031656,1
1.016629,20.000000,0.450000,2.425667,0.052574,10.000000,0.204348,-0.001922,0.019901,0.041674,0
1.022611,5.000000,1.000000,2.906246,0.062018,2.000000,0.009072,-0.000623,0.078462,0.060333,1
1.040539,28.000000,0.880000,1.428351,0.051454,8.000000,0.142251,-0.003152,0.047607,0.053877,1
1.019776,12.000000,0.610000,0.430484,0.053274,11.000000,0.185903,-0.000827,-0.009252,0.052484,1
0.999746,24.000000,0.530000,3.879524,0.059795,10.000000,0.231475,-0.002449,0.002463,0.052171,0
1.062738,78.000000,0.240000,2.915940,0.059152,30.000000,0.279436,-0.004192,0.075260,0.054122,1
1.021112,71.000000,0.010000,0.595271,0.027881,57.000000,0.351748,-0.006095,0.020273,0.026691,1
1.042860,49.000000,0.200000,0.643811,0.031283,17.000000,0.035885,-0.007855,0.049487,0.027417,1
1.028227,9.000000,0.770000,0.774711,0.037969,8.000000,0.507138,-0.004297,0.045430,0.038423,0
1.006904,8.000000,0.780000,1.268715,0.050060,6.000000,0.171967,-0.009708,0.017288,0.046507,1
1.004683,23.000000,0.200000,1.485766,0.038278,13.000000,0.062531,0.000991,0.001987,0.039605,0
1.003315,10.000000,0.820000,1.200683,0.039608,7.000000,0.159173,-0.011278,0.013319,0.035312,0
