column,type,max_abs_diff,n_neq,mode,artifact
open_dt_naive,string,,0,new_base,signal
close_dt_naive,string,,0,new_base,signal
date,string,,0,new_base,signal
open,numeric,0.0,0,new_base,signal
pos,numeric,0.0,0,new_base,signal
trade,numeric,0.0,0,new_base,signal
ret_h4,numeric,9.974659986866641e-17,0,new_base,signal
equity,numeric,3.552713678800501e-15,1117,new_base,signal
date,string,,0,new_base,daily
equity,numeric,3.552713678800501e-15,183,new_base,daily
ret,numeric,9.8879238130678e-17,0,new_base,daily
drawdown,numeric,9.93129189996722e-17,0,new_base,daily
entry_idx,numeric,0.0,0,new_base,trades
exit_idx,numeric,0.0,0,new_base,trades
entry_dt,string,,0,new_base,trades
exit_dt,string,,0,new_base,trades
entry_px,numeric,0.0,0,new_base,trades
exit_px,numeric,0.0,0,new_base,trades
gross_ret,numeric,9.90960785651751e-17,0,new_base,trades
net_ret,numeric,9.020562075079397e-17,0,new_base,trades
hold_days,numeric,7.105427357601002e-15,6,new_base,trades
open_dt_naive,string,,0,new_final_flow,signal
close_dt_naive,string,,0,new_final_flow,signal
date,string,,0,new_final_flow,signal
open,numeric,0.0,0,new_final_flow,signal
pos,numeric,0.0,0,new_final_flow,signal
trade,numeric,0.0,0,new_final_flow,signal
ret_h4,numeric,9.974659986866641e-17,0,new_final_flow,signal
equity,numeric,3.552713678800501e-15,1606,new_final_flow,signal
date,string,,0,new_final_flow,daily
equity,numeric,3.552713678800501e-15,264,new_final_flow,daily
ret,numeric,9.974659986866641e-17,0,new_final_flow,daily
drawdown,numeric,9.8879238130678e-17,0,new_final_flow,daily
entry_idx,numeric,0.0,0,new_final_flow,trades
exit_idx,numeric,0.0,0,new_final_flow,trades
entry_dt,string,,0,new_final_flow,trades
exit_dt,string,,0,new_final_flow,trades
entry_px,numeric,0.0,0,new_final_flow,trades
exit_px,numeric,0.0,0,new_final_flow,trades
gross_ret,numeric,8.543513119185775e-17,0,new_final_flow,trades
net_ret,numeric,9.020562075079397e-17,0,new_final_flow,trades
hold_days,numeric,3.552713678800501e-15,5,new_final_flow,trades
