system,cost_per_side,segment,sharpe,cagr,mdd,equity_final,trades,exposure
new_final_flow,0.0,dev,1.888737705406961,0.7644972095141778,-0.22195671662902094,9.663478408721147,35,0.25379609544468545
new_final_flow,0.0,hold,1.895715644280943,0.5548405057887746,-0.10752902420564281,2.5665495357518027,16,0.24669227486128895
new_final_flow,0.0,full2020,1.8957288940184702,0.6994426310069584,-0.22195671662902094,25.88516997240015,51,0.25120808861794663
new_final_flow,0.001,dev,1.8337706802708391,0.7338546602896199,-0.227294597845199,9.010356993474346,35,0.25379609544468545
new_final_flow,0.001,hold,1.8358930282860475,0.5324260093751263,-0.1128819150260073,2.488183070246173,16,0.24669227486128895
new_final_flow,0.001,full2020,1.8394607991314476,0.6714277971498728,-0.227294597845199,23.375416825070676,51,0.25120808861794663
new_final_flow,0.0025,dev,1.7509816036807526,0.6888301751700117,-0.23651100616624676,8.111435657840804,35,0.25379609544468545
new_final_flow,0.0025,hold,1.74551708831661,0.4993677739961222,-0.12086106953490394,2.374958667608008,16,0.24669227486128895
new_final_flow,0.0025,full2020,1.7546269393672282,0.6302181954333497,-0.23651100616624676,20.05574162573385,51,0.25120808861794663
new_base,0.0,dev,1.7360017952296367,0.7334420982623029,-0.21589947421554512,9.001795906671793,53,0.30608516953990184
new_base,0.0,hold,1.8502987276511031,0.555000798691512,-0.1063569829374702,2.5671146130967695,23,0.26312419974391804
new_base,0.0,full2020,1.7692437553012865,0.6799696691563877,-0.21589947421554512,24.118056638780203,76,0.2909820831164969
new_base,0.001,dev,1.6582850250523795,0.6880836355745343,-0.22357088540010972,8.097122277555757,53,0.30608516953990184
new_base,0.001,hold,1.7661413616988801,0.5225657174602087,-0.10712199858881255,2.4541181050394205,23,0.26312419974391804
new_base,0.001,full2020,1.6901536907086565,0.6388812632728149,-0.22357088540010972,20.71863750532996,76,0.2909820831164969
new_base,0.0025,dev,1.541525361409822,0.6221809061218044,-0.23712653461085265,6.9063200429488445,53,0.30608516953990184
new_base,0.0025,hold,1.639217587209831,0.4751188020398631,-0.11778500442250062,2.2936864142343953,23,0.26312419974391804
new_base,0.0025,full2020,1.5711977544766003,0.5790518168672598,-0.23712653461085265,16.491709829034185,76,0.2909820831164969
root_cause_old,0.0,dev,1.6977218613996077,0.7041620292203403,-0.22684912845560734,8.409609956424905,58,0.29695170681584654
root_cause_old,0.0,hold,1.4770542546223686,0.41248314308130407,-0.14625004966188904,2.090705310430289,28,0.264404609475032
root_cause_old,0.0,full2020,1.6389708253015804,0.6067716203609985,-0.22684912845560734,18.350020991193343,86,0.2854806334101554
root_cause_old,0.001,dev,1.6126939831928513,0.6554322348820731,-0.23892808872350735,7.489398457090023,58,0.29695170681584654
root_cause_old,0.001,hold,1.3751747116352981,0.3765840177813804,-0.15220819410848074,1.9788664833177994,28,0.264404609475032
root_cause_old,0.001,full2020,1.5497730243345893,0.5623892460625468,-0.23892808872350735,15.452489761845186,86,0.2854806334101554
root_cause_old,0.0025,dev,1.4848957526728623,0.5848514361488844,-0.2588285180829889,6.293020598017751,58,0.29695170681584654
root_cause_old,0.0025,hold,1.2218187133995393,0.32437481644162447,-0.16118990927487065,1.8220369823512619,28,0.264404609475032
root_cause_old,0.0025,full2020,1.4156313176172306,0.4980249656367799,-0.2588285180829889,11.93716738388878,86,0.2854806334101554
