scenario,d_sharpe,d_cagr_pct,d_mdd_pct,d_trades,d_win_rate_pct,d_avg_exposure,d_time_in_market_pct
smart,-0.2769999999999999,-40.790000000000006,-14.16,-103,-7.890000000000001,-0.19380000000000003,8.440000000000005
base,-0.32299999999999995,-38.0,-13.610000000000003,-103,-10.390000000000004,-0.19380000000000003,8.440000000000005
harsh,-0.37129999999999996,-35.199999999999996,-11.459999999999997,-103,-12.059999999999995,-0.19380000000000003,8.440000000000005
