strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,time_in_market_pct,avg_days_held,turnover_per_year
E0_EMA21,smart,1.5877,71.4,37.29,1.9148,174,43.1,1.8699,0.4551,45.51,6.82,48.11
E0_EMA21,base,1.4739,64.05,38.63,1.658,174,41.38,1.7307,0.4551,45.51,6.82,48.14
E0_EMA21,harsh,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,0.4551,45.51,6.82,48.15
X3,smart,1.3107,30.61,23.13,1.3237,71,35.21,2.3507,0.2613,53.95,19.82,40.41
X3,base,1.1509,26.05,25.02,1.0412,71,30.99,2.0314,0.2613,53.95,19.82,40.23
X3,harsh,0.9823,21.42,28.55,0.7503,71,28.17,1.7582,0.2613,53.95,19.82,40.03
