threshold_bars,n_reentry,n_nonreentry,pct_reentry,re_win_rate,nre_win_rate,re_mean_ret,nre_mean_ret,re_pnl,nre_pnl,mwu_p
1,30,156,16.1,50.0,44.9,1.001,3.041,72658.0,353696.0,0.7969
2,47,139,25.3,46.8,45.3,1.256,3.204,51947.0,374407.0,0.95
3,56,130,30.1,48.2,44.6,1.302,3.319,55716.0,370638.0,0.8691
4,66,120,35.5,50.0,43.3,1.18,3.555,45842.0,380512.0,0.7923
6,80,106,43.0,46.2,45.3,1.215,3.842,57188.0,369166.0,0.9945
