variable,quintile,range_lo,range_hi,n_trades,win_rate,mean_return_pct,median_return_pct,total_pnl_usd
Funding Rate,0,-0.00026,2.8e-05,33,63.6,3.157,1.148,132085.0
Funding Rate,1,2.9e-05,9.5e-05,33,45.5,5.394,-0.105,210911.0
Funding Rate,2,9.8e-05,0.0001,68,38.2,0.897,-1.078,41132.0
Funding Rate,3,0.000102,0.000975,31,38.7,1.555,-1.865,28324.0
Funding Pct Rank,0,0.011111,0.188889,34,55.9,5.21,0.923,154426.0
Funding Pct Rank,1,0.194444,0.411111,32,53.1,1.731,0.067,125056.0
Funding Pct Rank,2,0.416667,0.583333,33,48.5,3.348,-0.045,121505.0
Funding Pct Rank,3,0.588889,0.8,33,36.4,1.14,-1.591,28725.0
Funding Pct Rank,4,0.805556,1.0,33,30.3,0.327,-1.585,-17259.0
Basis %,0,-0.094218,-0.049212,33,42.4,2.84,-0.257,114769.0
Basis %,1,-0.048823,-0.039036,33,48.5,2.025,-0.045,46864.0
Basis %,2,-0.039026,-0.00031,33,45.5,4.708,-0.417,210814.0
Basis %,3,0.000212,0.050126,33,45.5,1.121,-0.401,30768.0
Basis %,4,0.052903,0.387605,33,42.4,1.168,-2.232,9236.0
