trade_id,entry_ts_ms,entry_time,exit_ts_ms,exit_time,entry_price,exit_price,net_return_pct,pnl_usd,holding_bars,exit_reason,decision_bar_idx,decision_close_time,decision_close,ema_fast_h4,ema_slow_h4,atr_14_h4,ratr_h4,vdo,d1_regime,bars_since_last_exit,prior_exit_reason,breadth_ema21_share,funding_raw,funding_pct_rank,oi_level,oi_change_1d,basis_raw,reentry_within_1_bars,reentry_within_2_bars,reentry_within_3_bars,reentry_within_4_bars,reentry_within_6_bars
1,1546646400000,2019-01-05T00:00:00Z,1547107200000,2019-01-10T08:00:00Z,3792.17,3775.46,-0.4407,-53.97,32,vtrend_ema21_d1_trail_stop,2213,2019-01-04T23:59:59Z,3792.01,3770.19,3768.83,61.33,65.32,0.007059,1,,,0.7143,,,,,,0,0,0,0,0
2,1549742400000,2019-02-09T20:00:00Z,1551024000000,2019-02-24T16:00:00Z,3655.57,3776.18,3.2994,317.25,89,vtrend_ema21_d1_trail_stop,2428,2019-02-09T19:59:59Z,3652.19,3516.5,3513.2,43.09,32.22,0.008955,1,182,x0_trail_stop,0.875,,,,,,0,0,0,0,0
3,1551297600000,2019-02-27T20:00:00Z,1551686400000,2019-03-04T08:00:00Z,3815.34,3724.95,-2.369,-252.42,27,vtrend_ema21_d1_trail_stop,2536,2019-02-27T19:59:59Z,3813.93,3854.73,3773.45,48.77,42.14,0.003123,1,18,x0_trail_stop,0.375,,,,,,0,0,0,0,0
4,1551830400000,2019-03-06T00:00:00Z,1553529600000,2019-03-25T16:00:00Z,3859.7,3960.74,2.6178,250.78,118,vtrend_ema21_d1_trail_stop,2573,2019-03-05T23:59:59Z,3857.73,3794.08,3784.68,41.85,38.83,0.005527,1,9,x0_trail_stop,0.75,,,,,,0,0,0,0,0
5,1553572800000,2019-03-26T04:00:00Z,1554984000000,2019-04-11T12:00:00Z,3938.31,4998.26,26.914,2735.31,98,vtrend_ema21_d1_trail_stop,2694,2019-03-26T03:59:59Z,3937.26,3980.05,3939.18,32.74,29.28,0.001121,1,2,x0_trail_stop,0.5,,,,,,0,1,1,1,1
6,1555084800000,2019-04-12T16:00:00Z,1556236800000,2019-04-26T00:00:00Z,5040.22,5217.6,3.5193,441.78,80,vtrend_ema21_d1_trail_stop,2799,2019-04-12T15:59:59Z,5037.45,5082.42,4697.64,107.35,93.91,7.3e-05,1,6,x0_trail_stop,0.625,,,,,,0,0,0,0,1
7,1556323200000,2019-04-27T00:00:00Z,1558065600000,2019-05-17T04:00:00Z,5317.92,7339.9,38.0219,5062.09,121,vtrend_ema21_d1_trail_stop,2885,2019-04-26T23:59:59Z,5314.1,5351.44,5147.74,107.61,81.21,0.010069,1,5,x0_trail_stop,0.125,,,,,,0,0,0,0,1
8,1558123200000,2019-05-17T20:00:00Z,1559260800000,2019-05-31T00:00:00Z,7139.66,8262.55,15.7276,2873.49,79,vtrend_ema21_d1_trail_stop,3010,2019-05-17T19:59:59Z,7136.72,7525.37,6590.92,312.4,235.34,0.001791,1,17,x0_trail_stop,1.0,,,,,,0,0,0,0,0
9,1559332800000,2019-05-31T20:00:00Z,1559606400000,2019-06-04T00:00:00Z,8449.37,8111.2,-4.0023,-871.22,19,vtrend_ema21_d1_trail_stop,3094,2019-05-31T19:59:59Z,8442.75,8473.63,7843.98,209.24,184.2,0.003306,1,4,x0_trail_stop,0.875,,,,,,0,0,0,1,1
10,1559995200000,2019-06-08T12:00:00Z,1560009600000,2019-06-08T16:00:00Z,7985.72,7914.75,-0.8888,-201.2,1,vtrend_ema21_d1_trend_exit,3140,2019-06-08T11:59:59Z,7980.59,7964.48,7963.94,173.74,173.56,0.009807,1,26,x0_trail_stop,1.0,,,,,,0,0,0,0,0
11,1560398400000,2019-06-13T04:00:00Z,1561651200000,2019-06-27T16:00:00Z,8086.46,11823.49,46.2136,9280.31,87,vtrend_ema21_d1_trail_stop,3168,2019-06-13T03:59:59Z,8082.01,7941.22,7940.19,153.51,154.9,0.006698,1,26,x0_trend_exit,1.0,,,,,,0,0,0,0,0
12,1561795200000,2019-06-29T08:00:00Z,1561996800000,2019-07-01T16:00:00Z,11884.03,10384.46,-12.6184,-3735.0,14,vtrend_ema21_d1_trail_stop,3265,2019-06-29T07:59:59Z,11873.61,11745.78,10204.7,674.36,427.44,0.001574,1,13,x0_trail_stop,0.25,,,,,,0,0,0,0,0
13,1562126400000,2019-07-03T04:00:00Z,1562832000000,2019-07-11T08:00:00Z,11295.67,11579.23,2.5103,617.25,49,vtrend_ema21_d1_trail_stop,3288,2019-07-03T03:59:59Z,11289.48,11067.84,10464.59,555.44,488.22,0.010553,1,8,x0_trail_stop,0.25,,,,,,0,0,0,0,0
14,1562904000000,2019-07-12T04:00:00Z,1563120000000,2019-07-14T16:00:00Z,11195.67,10407.45,-7.0403,-1870.8,15,vtrend_ema21_d1_trail_stop,3342,2019-07-12T03:59:59Z,11186.81,11829.2,11227.9,446.83,427.57,0.003488,1,5,x0_trail_stop,0.0,,,,,,0,0,0,0,1
15,1564862400000,2019-08-03T20:00:00Z,1565467200000,2019-08-10T20:00:00Z,10857.11,11325.33,4.3126,1023.92,42,vtrend_ema21_d1_trail_stop,3478,2019-08-03T19:59:59Z,10850.6,10269.2,10215.59,192.86,194.09,0.000251,1,120,x0_trail_stop,0.1111,,,,,,0,0,0,0,0
16,1565524800000,2019-08-11T12:00:00Z,1565712000000,2019-08-13T16:00:00Z,11475.94,10946.72,-4.6116,-1192.27,13,vtrend_ema21_d1_trail_stop,3524,2019-08-11T11:59:59Z,11469.94,11546.87,10955.31,247.23,230.23,0.004689,1,26,x0_trail_stop,0.1111,,,,,,0,0,0,0,0
17,1567756800000,2019-09-06T08:00:00Z,1568001600000,2019-09-09T04:00:00Z,10721.76,10294.56,-3.9845,-983.95,17,vtrend_ema21_d1_trail_stop,3679,2019-09-06T07:59:59Z,10716.51,10365.7,10242.52,179.86,168.37,0.01243,1,138,x0_trail_stop,0.0,,,,,,0,0,0,0,0
18,1568476800000,2019-09-14T16:00:00Z,1568664000000,2019-09-16T20:00:00Z,10363.48,10115.82,-2.3897,-574.72,13,vtrend_ema21_d1_trend_exit,3729,2019-09-14T15:59:59Z,10356.32,10271.67,10267.85,135.36,140.11,0.028876,1,34,x0_trail_stop,0.3333,,,,,,0,0,0,0,0
19,1572134400000,2019-10-27T00:00:00Z,1572580800000,2019-11-01T04:00:00Z,9235.08,9059.14,-1.9051,-450.91,31,vtrend_ema21_d1_trail_stop,3983,2019-10-26T23:59:59Z,9230.0,8340.02,8242.17,343.61,144.07,0.000642,1,240,x0_trend_exit,0.9,,,,,,0,0,0,0,0
