variable,threshold,direction,n_blocked,n_passed,blocked_losers,blocked_winners,avoided_loss_pnl,missed_win_pnl,net_pnl_effect,blocked_mean_ret,passed_mean_ret,original_total_pnl,remaining_total_pnl
Funding Rate,0.0001,above,31,134,19,12,-94033.0,122356.0,-28324.0,1.555,2.561,412452.0,384128.0
Funding Rate,0.00027,above,17,148,11,6,-28980.0,85854.0,-56875.0,4.039,2.181,412452.0,355577.0
Funding Rate,0.000438,above,9,156,7,2,-11608.0,13565.0,-1958.0,0.575,2.476,412452.0,410494.0
Funding Rate,2.9e-05,below,34,131,13,21,-68057.0,199074.0,-131016.0,3.045,2.198,412452.0,281435.0
Funding Rate,0.0,below,15,150,4,11,-5405.0,87392.0,-81987.0,4.782,2.131,412452.0,330465.0
Funding Rate,-2.6e-05,below,9,156,3,6,-5128.0,25486.0,-20358.0,4.667,2.24,412452.0,392094.0
Basis %,0.0507,above,33,132,19,14,-111793.0,121029.0,-9236.0,1.168,2.673,412452.0,403216.0
Basis %,0.0767,above,17,148,10,7,-54047.0,74076.0,-20030.0,2.798,2.323,412452.0,392422.0
Basis %,0.097,above,9,156,6,3,-15762.0,58211.0,-42449.0,6.436,2.138,412452.0,370002.0
