strategy,scenario,trades,sharpe,cagr_pct,max_dd_pct,calmar,win_rate,avg_exposure,time_in_market_pct
X0,smart,186,1.686,76.02,37.9,2.0058,45.7,0.4441,44.41
X0,base,186,1.5616,67.96,39.34,1.7276,44.62,0.4441,44.41
X0,harsh,186,1.43,59.85,41.64,1.4373,43.55,0.4441,44.41
E0_EMA21,smart,172,1.5572,69.12,39.42,1.7535,44.19,0.4544,45.44
E0_EMA21,base,172,1.4443,61.94,40.71,1.5214,43.6,0.4544,45.44
E0_EMA21,harsh,172,1.3249,54.7,42.05,1.3008,42.44,0.4544,45.44
X0_LR,smart,186,1.9074,25.82,13.06,1.9764,45.7,0.1474,44.41
X0_LR,base,186,1.7873,23.97,13.67,1.754,44.62,0.1475,44.41
X0_LR,harsh,186,1.6602,22.05,14.5,1.5204,43.55,0.1475,44.41
