variable,n_valid,n_winners,n_losers,mean_all,mean_winners,mean_losers,median_all,median_winners,median_losers,mwu_stat,mwu_p,ks_stat,ks_p,spearman_r,spearman_p
breadth_share,186,85,101,0.6286,0.6107,0.6437,0.6364,0.6154,0.6923,3979.0,0.3898,0.1309,0.3656,-0.0545,0.4602
breadth_pct_rank,185,85,100,0.6346,0.6019,0.6624,0.7253,0.7253,0.7527,3910.5,0.3455,0.1429,0.2716,-0.01,0.8929
