close_time,nav_candidate,nav_baseline,nav_vtrend,exposure_candidate,exposure_baseline,exposure_vtrend
1546315199999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546329599999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546343999999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546358399999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546372799999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546387199999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546401599999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546415999999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546430399999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546444799999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546459199999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546473599999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546487999999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546502399999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546516799999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546531199999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546545599999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546559999999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546574399999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546588799999,10000.0,10000.0,10000.0,0.0,0.0,0.0
1546603199999,10000.0,10000.0,9907.204877182594,0.0,0.0,1.0
1546617599999,10000.0,10000.0,9822.121378257316,0.0,0.0,1.0
1546631999999,10000.0,10000.0,9859.693112365938,0.0,0.0,1.0
1546646399999,10000.0,10000.0,9998.062558402462,0.0,0.0,1.0
1546660799999,10000.0,10000.0,10058.678289431038,0.0,0.0,1.0
1546675199999,10000.0,10000.0,9979.975393771925,0.0,0.0,1.0
1546689599999,10000.0,10000.0,10022.451227911566,0.0,0.0,1.0
1546703999999,10000.0,10000.0,9981.109137327483,0.0,0.0,1.0
1546718399999,10000.0,10000.0,10048.079105493027,0.0,0.0,1.0
1546732799999,10000.0,10000.0,9942.561856438497,0.0,0.0,1.0
1546747199999,10000.0,10000.0,9943.062812893279,0.0,0.0,1.0
1546761599999,10000.0,10000.0,9934.599285420389,0.0,0.0,1.0
1546775999999,10000.0,10000.0,10056.674463611911,0.0,0.0,1.0
1546790399999,10000.0,10000.0,10037.11079574623,0.0,0.0,1.0
1546804799999,10000.0,10000.0,10552.937747396109,0.0,0.0,1.0
1546819199999,10000.0,10000.0,10513.757679406344,0.0,0.0,1.0
1546833599999,10000.0,10000.0,10526.044295613096,0.0,0.0,1.0
1546847999999,10000.0,10000.0,10549.08829253305,0.0,0.0,1.0
1546862399999,10000.0,10000.0,10485.176795354593,0.0,0.0,1.0
1546876799999,10000.0,10000.0,10467.115996853256,0.0,0.0,1.0
1546891199999,10000.0,10000.0,10516.183363292655,0.0,0.0,1.0
1546905599999,10000.0,10000.0,10481.72283242952,0.0,0.0,1.0
1546919999999,10000.0,10000.0,10403.046302899606,0.0,0.0,1.0
1546934399999,10000.0,10000.0,10424.112840129634,0.0,0.0,1.0
1546948799999,10000.0,10000.0,10550.643894155792,0.0,0.0,1.0
1546963199999,10000.0,10000.0,10547.717253814699,0.0,0.0,1.0
1546977599999,10000.0,10000.0,10483.489363085855,0.0,0.0,1.0
1546991999999,10000.0,10000.0,10428.146857897085,0.0,0.0,1.0
1547006399999,10000.0,10000.0,10496.435132522582,0.0,0.0,1.0
1547020799999,10000.0,10000.0,10514.495931023917,0.0,0.0,1.0
1547035199999,10000.0,10000.0,10510.699208419257,0.0,0.0,1.0
1547049599999,10000.0,10000.0,10436.452188594782,0.0,0.0,1.0
1547063999999,10000.0,10000.0,10489.342643768041,0.0,0.0,1.0
1547078399999,10000.0,10000.0,10458.520638734371,0.0,0.0,1.0
1547092799999,10000.0,10000.0,10490.924611519982,0.0,0.0,1.0
1547107199999,10000.0,10000.0,9958.539730733111,0.0,0.0,1.0
1547121599999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547135999999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547150399999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547164799999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547179199999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547193599999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547207999999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547222399999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547236799999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547251199999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547265599999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547279999999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547294399999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547308799999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547323199999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547337599999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547351999999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547366399999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547380799999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547395199999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547409599999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
1547423999999,10000.0,10000.0,9935.028418636713,0.0,0.0,0.0
