rank,bar_index,close_time_ms,datetime_utc,simple_differential,log_differential,candidate_return,baseline_return,candidate_exposure,baseline_exposure,candidate_exposure_prev,baseline_exposure_prev,candidate_nav,baseline_nav,event_type,event_description,economic_class,fwd_1_cand,fwd_1_base,fwd_1_diff,fwd_6_cand,fwd_6_base,fwd_6_diff,fwd_24_cand,fwd_24_base,fwd_24_diff,fwd_42_cand,fwd_42_base,fwd_42_diff
1,2617,1584014399999,2020-03-12 11:59,-0.092565955010,-0.097268104645,-0.093874939607,-0.001308984598,0.474330,0.000000,0.523678,0.523678,14683.0322,15046.9775,base_exit_cand_hold,baseline exited while candidate held,harmful_stayed_in,-0.00139868,0.00000000,-0.00139868,-0.00139868,0.00000000,-0.00139868,-0.00139868,0.00000000,-0.00139868,-0.00139868,0.00000000,-0.00139868
2,6361,1637927999999,2021-11-26 11:59,0.048018904633,0.049210102196,0.000000000000,-0.048018904633,0.000000,0.836686,0.000000,0.844528,57014.7518,56019.3227,other,"c_prev=0.00→0.00, b_prev=0.84→0.84",beneficial,0.00000000,0.00969163,-0.00969163,0.00000000,0.01380627,-0.01380627,0.00305646,0.06098284,-0.05792638,-0.00302156,0.04987780,-0.05289936
3,5995,1632657599999,2021-09-26 11:59,-0.040975387673,-0.040158146388,0.000000000000,0.040975387673,0.000000,0.925151,0.000000,0.922084,43711.5005,49879.3118,other,"c_prev=0.00→0.00, b_prev=0.92→0.93",harmful,0.00000000,0.00601878,-0.00601878,-0.00267171,0.01449724,-0.01716895,-0.00716914,-0.04760508,0.04043594,0.06065722,-0.02555413,0.08621136
4,6376,1638143999999,2021-11-28 23:59,-0.040812444082,-0.040001604411,0.000000000000,0.040812444082,0.000000,0.845255,0.000000,0.838940,57014.7518,59121.5976,other,"c_prev=0.00→0.00, b_prev=0.84→0.85",harmful,-0.00036150,0.00117308,-0.00153458,0.00470014,0.00815566,-0.00345552,-0.00755568,-0.01306172,0.00550604,-0.05115612,-0.06239554,0.01123942
5,873,1558900799999,2019-05-26 19:59,0.039425010142,0.037930814844,0.059229770246,0.019804760104,0.954436,0.331474,0.951737,0.318234,13894.4488,12813.5106,same_state_diff_exp,both same direction but different exposure,beneficial,0.01513028,0.00967380,0.00545648,0.03180364,0.02091903,0.01088461,0.01578195,0.00899973,0.00678222,0.02129247,0.01309927,0.00819320
6,9705,1686081599999,2023-06-06 19:59,-0.037652562220,-0.036961010235,0.000000000000,0.037652562220,0.000000,0.969051,0.000000,0.967886,44805.8616,48975.0546,other,"c_prev=0.00→0.00, b_prev=0.97→0.97",harmful,0.00000000,0.00536590,-0.00536590,0.00000000,-0.02138881,0.02138881,0.00000000,-0.04759816,0.04759816,-0.00115268,-0.04212884,0.04097616
7,13482,1740470399999,2025-02-25 07:59,0.029136583650,0.029569483458,0.000000000000,-0.029136583650,0.000000,0.945892,0.000000,0.947469,104002.7405,84088.6203,other,"c_prev=0.00→0.00, b_prev=0.95→0.95",beneficial,0.00000000,-0.00236308,0.00236308,0.00000000,-0.00236308,0.00236308,0.00337587,-0.00149422,0.00487009,-0.01931179,-0.02639603,0.00708424
8,9726,1686383999999,2023-06-10 07:59,0.024716115404,0.025026686676,0.000000000000,-0.024716115404,0.000000,0.967383,0.000000,0.968190,44805.8616,46470.5873,other,"c_prev=0.00→0.00, b_prev=0.97→0.97",beneficial,0.00000000,0.00302874,-0.00302874,0.00000000,0.00340323,-0.00340323,-0.00248373,0.00930119,-0.01178492,0.01959994,-0.02445168,0.04405162
9,1881,1573415999999,2019-11-10 19:59,-0.024396492787,-0.024103651662,0.000000000000,0.024396492787,0.000000,0.870137,0.000000,0.866969,17825.4880,16989.8352,other,"c_prev=0.00→0.00, b_prev=0.87→0.87",harmful,0.00000000,-0.00084818,0.00084818,0.00000000,-0.02736208,0.02736208,0.00000000,-0.03839615,0.03839615,0.00206154,-0.05674015,0.05880170
10,12131,1721015999999,2024-07-15 03:59,0.023904151429,0.023622920116,0.023904151429,0.000000000000,0.790602,0.000000,0.785597,0.000000,77433.5755,61852.1605,other,"c_prev=0.79→0.79, b_prev=0.00→0.00",beneficial,0.00242615,0.00000000,0.00242615,0.02655542,0.00000000,0.02655542,0.01916731,-0.00954022,0.02870752,0.07054600,0.02157406,0.04897194
11,12138,1721116799999,2024-07-16 07:59,-0.022830298783,-0.023094945792,-0.022830298783,0.000000000000,0.791253,0.000000,0.796019,0.000000,77675.0793,61852.1605,other,"c_prev=0.80→0.79, b_prev=0.00→0.00",harmful,0.01070730,0.00000000,0.01070730,0.02940883,-0.00152749,0.03093632,0.04815562,0.00967385,0.03848178,0.04792571,0.00774558,0.04018013
12,6025,1633089599999,2021-10-01 11:59,0.022757557964,0.022061348680,0.042978492163,0.020220934199,0.733954,0.363741,0.506337,0.000000,46033.0382,48465.3945,other,"c_prev=0.51→0.73, b_prev=0.00→0.36",beneficial,-0.00192267,-0.00095286,-0.00096981,0.00161558,-0.00186118,0.00347676,0.04339803,0.03378403,0.00961400,0.14685985,0.12398755,0.02287230
13,3038,1590076799999,2020-05-21 15:59,-0.022503238113,-0.022760299776,-0.022503238113,0.000000000000,0.684362,0.000000,0.691465,0.000000,13767.1915,14454.5320,other,"c_prev=0.69→0.68, b_prev=0.00→0.00",harmful,-0.00185098,0.00000000,-0.00185098,-0.00185098,0.00000000,-0.00185098,-0.01739220,-0.02782249,0.01043028,0.03652401,0.03307510,0.00344891
14,13480,1740441599999,2025-02-24 23:59,0.021765604115,0.022058811973,-0.002369284533,-0.024134888648,0.000000,0.947142,0.948418,0.948418,104002.7405,86076.9736,cand_exit_base_hold,candidate exited while baseline held,beneficial_crash_avoidance,0.00000000,0.00621804,-0.00621804,0.00000000,-0.02540820,0.02540820,0.00149640,-0.02493600,0.02643240,0.01535990,-0.01584393,0.03120383
15,5994,1632643199999,2021-09-26 07:59,0.021469068837,0.021702881850,0.000000000000,-0.021469068837,0.000000,0.922084,0.000000,0.923757,43711.5005,47915.9376,other,"c_prev=0.00→0.00, b_prev=0.92→0.92",beneficial,0.00000000,0.04097539,-0.04097539,-0.00306898,0.05470148,-0.05777047,-0.00574021,-0.00858033,0.00284013,0.05907517,0.01307787,0.04599731
16,14194,1750723199999,2025-06-23 23:59,-0.021060612949,-0.020841903678,0.000000000000,0.021060612949,0.000000,1.000000,0.000000,1.000000,106606.6246,92378.3455,other,"c_prev=0.00→0.00, b_prev=1.00→1.00",harmful,0.00000000,-0.00393349,0.00393349,0.00191216,0.00711138,-0.00519923,0.00632807,0.01626883,-0.00994076,0.00722589,0.01720785,-0.00998195
