candidate,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,profit_factor,win_rate_pct,avg_trade_pnl,fees_total,trades,turnover_per_year,fee_drag_pct_per_year
baseline_legacy,smart,103.32,41.5,32.7,1.2553,1.2356,1.8291,49.51,1079.56,3981.38,103,26.01,0.91
baseline_legacy,base,94.5,38.55,33.88,1.1884,1.1726,1.7888,49.51,948.09,10282.42,103,25.84,2.58
baseline_legacy,harsh,83.48,34.35,33.07,1.0967,1.0765,1.7347,49.04,758.63,13254.98,104,25.99,3.9
tighten_025,smart,114.84,45.75,32.7,1.3384,1.3282,1.8751,48.51,1382.0,4684.63,101,25.85,0.9
tighten_025,base,105.94,42.76,33.88,1.2734,1.2667,1.8356,48.51,1218.13,12096.43,101,25.67,2.57
tighten_025,harsh,94.81,38.5,33.07,1.1845,1.1723,1.7848,48.04,980.38,15565.18,102,25.81,3.87
tighten_030,smart,116.51,46.2,32.04,1.3428,1.3414,1.8979,48.51,1414.71,4679.94,101,26.22,0.92
tighten_030,base,107.55,43.21,33.31,1.2781,1.2798,1.8576,48.51,1246.26,12074.55,101,26.04,2.6
tighten_030,harsh,96.39,38.93,32.47,1.1896,1.1853,1.8064,48.04,1002.65,15517.27,102,26.17,3.93
tighten_wfo,smart,103.32,41.5,32.7,1.2553,1.2356,1.8291,49.51,1079.56,3981.38,103,26.01,0.91
tighten_wfo,base,94.5,38.55,33.88,1.1884,1.1726,1.7888,49.51,948.09,10282.42,103,25.84,2.58
tighten_wfo,harsh,83.48,34.35,33.07,1.0967,1.0765,1.7347,49.04,758.63,13254.98,104,25.99,3.9
