feature,permutation_imp,loo_auc,loo_auc_drop
ema_ratio,0.1378,0.7832,0.0449
atr_pctl,0.0242,0.8135,0.0146
bar_range_atr,0.0212,0.8067,0.0214
close_position,-0.0003,0.8282,-0.0001
vdo,0.0131,0.8184,0.0098
d1_regime_str,0.0716,0.8259,0.0022
trail_tightness,0.0343,0.7979,0.0302
