cost_bps,base_sharpe,best_sharpe,delta_sh,base_mdd,best_mdd,delta_mdd
10,1.7041,1.9863,0.2822,37.57,19.59,-17.99
15,1.6702,1.9727,0.3025,37.97,19.87,-18.1
20,1.6362,1.9473,0.3111,38.37,20.15,-18.22
25,1.6022,1.9193,0.3171,38.77,20.43,-18.35
30,1.5682,1.8939,0.3257,39.17,20.71,-18.46
35,1.5342,1.8341,0.2998,39.56,23.2,-16.36
50,1.432,1.7569,0.3249,41.57,24.69,-16.89
75,1.2615,1.6281,0.3666,45.66,27.09,-18.57
100,1.0909,1.499,0.4081,50.13,29.43,-20.71
