bin,mean_score,actual_churn_rate,n_samples
1,0.05,0.0,0
2,0.15,0.0,0
3,0.2583,0.0,2
4,0.3641,0.0714,14
5,0.4624,0.3448,29
6,0.5565,0.5667,30
7,0.6541,0.7105,38
8,0.7371,0.8125,32
9,0.8419,1.0,20
10,0.9443,0.9444,18
