period,quartile,n_trades,avg_ret,median_ret,win_rate,n_trail_stops
P1,Q1,16,-4.7858,-4.7755,6.25,16
P1,Q2,15,-1.2015,-2.7667,20.0,15
P1,Q3,15,2.4544,2.9466,66.67,15
P1,Q4,16,22.5995,16.1496,93.75,16
P2,Q1,11,-3.7372,-4.1761,9.09,11
P2,Q2,11,-3.3774,-2.7788,9.09,11
P2,Q3,11,2.7048,1.094,63.64,11
P2,Q4,12,7.5033,4.6587,58.33,12
P3,Q1,16,-0.9576,-1.3606,25.0,16
P3,Q2,15,-0.1358,-0.4469,33.33,15
P3,Q3,15,0.4206,0.4599,60.0,15
P3,Q4,16,8.0573,3.4183,81.25,16
