episode,base_dd,partial_dd,delta_dd,exposure_component,timing_component,n_partials
1,35.96,19.41,-16.55,-12.76,-3.79,21
2,37.05,20.43,-16.62,-13.75,-2.87,23
3,24.05,15.14,-8.91,-6.59,-2.33,12
4,22.82,7.2,-15.61,-13.49,-2.12,1
5,19.23,16.62,-2.61,-4.65,2.04,5
