signal,rule_type,fold,direction,threshold,sharpe,cagr,mdd,trades,oos_sharpe,oos_cagr,oos_mdd,oos_trades
imbalance_ratio_base,fixed_natural,1,ge,0.0,0.4109347624925218,0.08538686522755268,-0.362627462787805,34,,,,
imbalance_ratio_base,fixed_natural,2,ge,0.0,1.4772486784277015,0.5839292724972229,-0.27455828452140785,52,,,,
imbalance_ratio_base,fixed_natural,3,ge,0.0,1.0460123647752775,0.32060611379615556,-0.21299724185200375,32,,,,
imbalance_ratio_base,fixed_natural,4,ge,0.0,-0.42052776853090873,-0.08062690263351813,-0.16185480366355887,14,,,,
imbalance_ratio_base,train_threshold,1,ge,0.081149127394,1.7410079182892466,0.9137344951921984,-0.3288322849389228,63,0.8965656781056585,0.2071583357789517,-0.16566305494323186,12.0
imbalance_ratio_base,train_threshold,2,ge,0.070551624624,1.481013892171031,0.6440432728837477,-0.3245089600511276,81,1.2017461556347928,0.33191109235420924,-0.3246890993174919,31.0
imbalance_ratio_base,train_threshold,3,ge,0.081567648931,1.4849823706942917,0.5742678872650759,-0.3288322849389229,100,0.7859369230249145,0.1918156273183913,-0.2803734884959578,25.0
imbalance_ratio_base,train_threshold,4,ge,0.08364489866,1.400164886216241,0.5076119206409508,-0.32966528488576496,123,0.13397919579401382,0.00870677051733515,-0.14220956840197574,11.0
ema12_imbalance_ratio_base,fixed_natural,1,ge,0.0,0.42694600296843366,0.08855463818908316,-0.3937379241750877,28,,,,
ema12_imbalance_ratio_base,fixed_natural,2,ge,0.0,0.5917752440284653,0.14043158682858659,-0.28090886286583194,34,,,,
ema12_imbalance_ratio_base,fixed_natural,3,ge,0.0,1.066528172535102,0.2854859669668095,-0.23516533447681276,23,,,,
ema12_imbalance_ratio_base,fixed_natural,4,ge,0.0,-0.9799943012895765,-0.15043775997840947,-0.2320643381806924,12,,,,
ema12_imbalance_ratio_base,train_threshold,1,ge,0.033286660709,1.6672564489723394,0.6061546122630057,-0.3933529445480124,42,0.11484016970978468,0.0063474713193909515,-0.11518611586874505,4.0
ema12_imbalance_ratio_base,train_threshold,2,ge,0.031819855581,1.2986476371463926,0.3654743041602295,-0.39303290954139924,47,1.5950284937961283,0.2734628106609569,-0.1089270889395072,6.0
ema12_imbalance_ratio_base,train_threshold,3,ge,0.031907352031,1.3237057242791865,0.3413682319613165,-0.39303290954139924,53,0.32650790987791717,0.042228611723545084,-0.10401439370976939,9.0
ema12_imbalance_ratio_base,train_threshold,4,ge,-0.010007452521,1.2726339990948243,0.5089910024361073,-0.41456981258792647,172,-0.2632662265470643,-0.05361284797856192,-0.17493460867117705,12.0
