signal,fold,model,log_loss,auc,n_test
vdo,1,baseline_price,0.6463414031212137,0.4641909814323607,42
vdo,1,signal_only,0.6363605636154988,0.6074270557029178,42
vdo,1,baseline_plus_signal,0.640222471664038,0.5039787798408488,42
vdo,2,baseline_price,0.7281172540496414,0.48677248677248675,55
vdo,2,signal_only,0.712063930606258,0.5383597883597884,55
vdo,2,baseline_plus_signal,0.7144040499448608,0.544973544973545,55
vdo,3,baseline_price,0.7122563462329287,0.5490196078431373,35
vdo,3,signal_only,0.7108173689608791,0.5947712418300654,35
vdo,3,baseline_plus_signal,0.704794391345578,0.565359477124183,35
vdo,4,baseline_price,0.6949821085655936,0.31746031746031744,16
vdo,4,signal_only,0.7036959578723774,0.46031746031746035,16
vdo,4,baseline_plus_signal,0.7351974667429926,0.42857142857142855,16
osc_12_28_imbalance_ratio_quote,1,baseline_price,0.6463414031212137,0.4641909814323607,42
osc_12_28_imbalance_ratio_quote,1,signal_only,0.6363549549513954,0.6074270557029178,42
osc_12_28_imbalance_ratio_quote,1,baseline_plus_signal,0.6402189612281924,0.5039787798408488,42
osc_12_28_imbalance_ratio_quote,2,baseline_price,0.7281172540496414,0.48677248677248675,55
osc_12_28_imbalance_ratio_quote,2,signal_only,0.7119889758995984,0.5396825396825398,55
osc_12_28_imbalance_ratio_quote,2,baseline_plus_signal,0.7143474477570332,0.544973544973545,55
osc_12_28_imbalance_ratio_quote,3,baseline_price,0.7122563462329287,0.5490196078431373,35
osc_12_28_imbalance_ratio_quote,3,signal_only,0.7108609954729209,0.5915032679738562,35
osc_12_28_imbalance_ratio_quote,3,baseline_plus_signal,0.7048724210746178,0.565359477124183,35
osc_12_28_imbalance_ratio_quote,4,baseline_price,0.6949821085655936,0.31746031746031744,16
osc_12_28_imbalance_ratio_quote,4,signal_only,0.7039003581229009,0.46031746031746035,16
osc_12_28_imbalance_ratio_quote,4,baseline_plus_signal,0.7354905268165735,0.42857142857142855,16
osc_12_28_net_quote_norm_28,1,baseline_price,0.6463414031212137,0.4641909814323607,42
osc_12_28_net_quote_norm_28,1,signal_only,0.637716029079729,0.6206896551724138,42
osc_12_28_net_quote_norm_28,1,baseline_plus_signal,0.643060113915556,0.4854111405835544,42
osc_12_28_net_quote_norm_28,2,baseline_price,0.7281172540496414,0.48677248677248675,55
osc_12_28_net_quote_norm_28,2,signal_only,0.7170638170764276,0.5343915343915344,55
osc_12_28_net_quote_norm_28,2,baseline_plus_signal,0.7197427323752837,0.5568783068783069,55
osc_12_28_net_quote_norm_28,3,baseline_price,0.7122563462329287,0.5490196078431373,35
osc_12_28_net_quote_norm_28,3,signal_only,0.715007339900412,0.5588235294117647,35
osc_12_28_net_quote_norm_28,3,baseline_plus_signal,0.7093996474453945,0.5555555555555556,35
osc_12_28_net_quote_norm_28,4,baseline_price,0.6949821085655936,0.31746031746031744,16
osc_12_28_net_quote_norm_28,4,signal_only,0.6908272640252178,0.4920634920634921,16
osc_12_28_net_quote_norm_28,4,baseline_plus_signal,0.7149084633783808,0.4603174603174603,16
vol_surprise_quote_28,1,baseline_price,0.6463414031212137,0.4641909814323607,42
vol_surprise_quote_28,1,signal_only,0.6404432034532861,0.46684350132625996,42
vol_surprise_quote_28,1,baseline_plus_signal,0.6469958211717838,0.4509283819628647,42
vol_surprise_quote_28,2,baseline_price,0.7281172540496414,0.48677248677248675,55
vol_surprise_quote_28,2,signal_only,0.7070313152551987,0.5687830687830688,55
vol_surprise_quote_28,2,baseline_plus_signal,0.7174189968803367,0.574074074074074,55
vol_surprise_quote_28,3,baseline_price,0.7122563462329287,0.5490196078431373,35
vol_surprise_quote_28,3,signal_only,0.678739056514828,0.7222222222222222,35
vol_surprise_quote_28,3,baseline_plus_signal,0.676988106706004,0.6764705882352942,35
vol_surprise_quote_28,4,baseline_price,0.6949821085655936,0.31746031746031744,16
vol_surprise_quote_28,4,signal_only,0.7393142657437837,0.39682539682539686,16
vol_surprise_quote_28,4,baseline_plus_signal,0.7498225889394214,0.380952380952381,16
ema28_imbalance_ratio_base,1,baseline_price,0.6463414031212137,0.4641909814323607,42
ema28_imbalance_ratio_base,1,signal_only,0.6459916042108967,0.519893899204244,42
ema28_imbalance_ratio_base,1,baseline_plus_signal,0.653338044869852,0.46153846153846156,42
ema28_imbalance_ratio_base,2,baseline_price,0.7281172540496414,0.48677248677248675,55
ema28_imbalance_ratio_base,2,signal_only,0.7066008740848144,0.5886243386243386,55
ema28_imbalance_ratio_base,2,baseline_plus_signal,0.713038790099015,0.5423280423280423,55
ema28_imbalance_ratio_base,3,baseline_price,0.7122563462329287,0.5490196078431373,35
ema28_imbalance_ratio_base,3,signal_only,0.7177234475053794,0.41503267973856206,35
ema28_imbalance_ratio_base,3,baseline_plus_signal,0.7140473784712408,0.4150326797385621,35
ema28_imbalance_ratio_base,4,baseline_price,0.6949821085655936,0.31746031746031744,16
ema28_imbalance_ratio_base,4,signal_only,0.6756287805773282,0.5714285714285714,16
ema28_imbalance_ratio_base,4,baseline_plus_signal,0.6852900392819412,0.46031746031746035,16
