signal,measurement,operator,rule_type,natural_center,aggregate_sharpe,aggregate_cagr,aggregate_mdd,positive_folds_vs_baseline,avg_selected_threshold
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,fixed_natural,0.0,1.1307597999722017,0.3503025443385246,-0.37093930671517106,3,
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,fixed_natural,0.0,1.1307597999722017,0.3503025443385246,-0.37093930671517106,3,
vdo,imbalance_ratio_base,osc_12_28_builtin,fixed_natural,0.0,1.1307597999722017,0.3503025443385246,-0.37093930671517106,3,
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,train_threshold,1.0,1.1015345837253034,0.3364036033930913,-0.32422354982136703,3,1.0869029644505002
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,train_threshold,0.0,1.0974448746235619,0.33702811931449217,-0.3392225305551142,4,-0.000675858513
vdo,imbalance_ratio_base,osc_12_28_builtin,train_threshold,0.0,1.0974448746235619,0.33702811931449217,-0.3392225305551142,4,-0.000675858513
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,fixed_natural,0.0,1.0812302054685883,0.3205203791929192,-0.331807938399747,4,
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,train_threshold,0.0,1.0702664479214654,0.3255303004248622,-0.3648484810818692,4,-0.0006918893122500001
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,train_threshold,0.0,1.0652295822315534,0.3208260331616464,-0.31195245963705565,3,-0.002626628984
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,train_threshold,,0.9889999330526581,0.29222095375389134,-0.4004813611361744,4,1.25
imbalance_ratio_base,imbalance_ratio_base,level,train_threshold,0.0,0.8971995165285385,0.21099385912188384,-0.35707261670375223,2,0.07922832490224999
imbalance_ratio_quote,imbalance_ratio_quote,level,train_threshold,0.0,0.8971995165285385,0.21099385912188384,-0.35707261670375223,2,0.07934742159475
imbalance_ratio_base,imbalance_ratio_base,level,fixed_natural,0.0,0.8534873048634353,0.24802576752528172,-0.3645454822063282,2,
imbalance_ratio_quote,imbalance_ratio_quote,level,fixed_natural,0.0,0.8534873048634353,0.24802576752528172,-0.3645454822063282,2,
net_quote_norm_28,net_quote_norm_28,level,fixed_natural,0.0,0.8534873048634353,0.24802576752528172,-0.3645454822063282,2,
vol_surprise_quote_28,vol_surprise_quote_28,level,fixed_natural,1.0,0.8241610176566572,0.23945145502055643,-0.4117083508736533,3,
ema12_net_quote_norm_28,net_quote_norm_28,ema12,fixed_natural,0.0,0.8228434413707336,0.2176233929653495,-0.3859162195767034,2,
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,train_threshold,0.0,0.7318994277395331,0.18542994526532275,-0.30972429084019937,1,0.05058481124
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,train_threshold,,0.7247591266301978,0.18255727937483135,-0.3784892501552276,1,2.75
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,train_threshold,,0.7247591266301978,0.18255727937483135,-0.3784892501552276,1,2.75
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,train_threshold,,0.7247591266301978,0.18255727937483135,-0.3784892501552276,1,2.75
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,train_threshold,1.0,0.7237634761718835,0.18603270610991252,-0.48657170166588415,3,1.03566878044575
vol_surprise_quote_28,vol_surprise_quote_28,level,train_threshold,1.0,0.7228119249585339,0.1628518414371416,-0.353152031546622,3,0.59596885275875
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,fixed_natural,1.0,0.6345537298549516,0.16047948760303177,-0.4985151747120198,2,
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,fixed_natural,1.0,0.6152895451688225,0.1546546799988655,-0.5244381663069463,1,
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,train_threshold,0.0,0.6002354963987259,0.08396530655222723,-0.17493460867117694,3,0.021751603950000004
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,train_threshold,0.0,0.6002354963987259,0.08396530655222723,-0.17493460867117694,3,0.021889849394
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,fixed_natural,0.0,0.5874448791458433,0.14584269868669808,-0.4821588198709359,1,
ema12_net_quote_norm_28,net_quote_norm_28,ema12,train_threshold,0.0,0.508694344955719,0.06655854092323965,-0.3072566028845797,1,0.05143657729525
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,fixed_natural,0.0,0.49796615179331777,0.10564270643020679,-0.5319056574688006,1,
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,fixed_natural,0.0,0.4966056726150809,0.10522034335904262,-0.5327392185006752,1,
net_quote_norm_28,net_quote_norm_28,level,train_threshold,0.0,0.48769632198219104,0.0965981676485752,-0.3810146225923774,2,0.06830345103049999
