signal,spearman_ret,mi_win,auc_win_raw,auc_win_oriented,top_minus_bottom_win_rate,top_minus_bottom_mean_ret
ema28_imbalance_ratio_base,-0.13261100157037875,0.05760198681812323,0.4194500335345405,0.5805499664654594,-0.18000000000000005,-0.008635050947664882
ema28_imbalance_ratio_quote,-0.13250031057186631,0.05211736797318056,0.41958417169684775,0.5804158283031522,-0.18000000000000005,-0.008635050947664882
ema28_net_quote_norm_28,-0.07906841181510939,0.036178139217773575,0.44118041582830314,0.5588195841716969,-0.10000000000000003,0.007651041065039953
osc_12_28_imbalance_ratio_quote,0.07532641899489387,0.000946897291485449,0.5493628437290409,0.5493628437290409,0.09999999999999998,0.04174782233653877
osc_12_28_imbalance_ratio_base,0.07444407635926953,0.0,0.5489604292421194,0.5489604292421194,0.09999999999999998,0.04174782233653877
vdo,0.07444407635926953,0.0,0.5489604292421194,0.5489604292421194,0.09999999999999998,0.04174782233653877
ema12_imbalance_ratio_base,-0.06827882664356223,0.0,0.45640509725016765,0.5435949027498324,-0.09999999999999998,0.005161028070886812
ema12_imbalance_ratio_quote,-0.06720058483071444,0.0,0.45700871898055,0.5429912810194499,-0.09999999999999998,0.005161028070886812
osc_12_28_net_quote_norm_28,0.08413630760311783,0.0,0.5411804158283031,0.5411804158283031,0.14,0.04947686102805655
vol_surprise_quote_28,0.006351592835505213,0.0,0.5383635144198524,0.5383635144198524,0.12000000000000005,-0.019612927936406895
pos_count4_vol_surprise_quote_28,-0.048312774927557624,0.023608118145728385,0.4674714956405097,0.5325285043594903,-0.09925558312655086,-0.025787185825410026
ema28_vol_surprise_quote_28,-0.020649047420342296,0.008295557337216097,0.4725687458081824,0.5274312541918176,-0.10000000000000003,-0.017239687524599326
imbalance_ratio_base,-0.07915999069877076,0.0063282825966621825,0.47270288397048954,0.5272971160295105,0.020000000000000018,0.004161956651592474
imbalance_ratio_quote,-0.07904452167154556,0.0,0.4727028839704896,0.5272971160295103,0.020000000000000018,0.004860863964910252
net_quote_norm_28,-0.07149921799596734,0.03249254231355336,0.4736418511066398,0.5263581488933602,0.0,0.0138406726828423
ema12_vol_surprise_quote_28,-0.011775451762614792,0.0,0.48001341381623075,0.5199865861837693,-0.07999999999999996,-0.01963346411212965
ema12_net_quote_norm_28,-0.005740005160271009,0.016407383128846487,0.4842387659289068,0.5157612340710932,-0.03999999999999998,0.01994618653564534
pos_count4_imbalance_ratio_base,0.005798302889239691,0.0,0.4877598926894702,0.5122401073105298,-0.03628117913832196,0.028929997676388437
osc_12_28_vol_surprise_quote_28,0.028991485552833846,0.024088575609991558,0.5105298457411134,0.5105298457411134,0.06,-0.010993302743381835
pos_count4_imbalance_ratio_quote,0.009634947066421458,0.0,0.4897719651240777,0.5102280348759223,-0.027777777777777735,0.03531718545070781
pos_count4_net_quote_norm_28,0.009634947066421458,0.0,0.4897719651240777,0.5102280348759223,-0.027777777777777735,0.03531718545070781
