trade_id,signal_bar_index,signal_timestamp,entry_bar_index,entry_timestamp,entry_price,exit_bar_index,exit_timestamp,exit_price,exit_reason,ret_net,hold_bars,vdo,imbalance_ratio_base,imbalance_ratio_quote,net_base_norm_28,net_quote_norm_28,vol_surprise_base_28,vol_surprise_quote_28,ema_gap_pct,regime_strength,atr_pct,ema12_imbalance_ratio_base,ema28_imbalance_ratio_base,osc_12_28_imbalance_ratio_base,pos_count4_imbalance_ratio_base,ema12_imbalance_ratio_quote,ema28_imbalance_ratio_quote,osc_12_28_imbalance_ratio_quote,pos_count4_imbalance_ratio_quote,ema12_net_base_norm_28,ema28_net_base_norm_28,osc_12_28_net_base_norm_28,pos_count4_net_base_norm_28,ema12_net_quote_norm_28,ema28_net_quote_norm_28,osc_12_28_net_quote_norm_28,pos_count4_net_quote_norm_28,ema12_vol_surprise_base_28,ema28_vol_surprise_base_28,osc_12_28_vol_surprise_base_28,pos_count4_vol_surprise_base_28,ema12_vol_surprise_quote_28,ema28_vol_surprise_quote_28,osc_12_28_vol_surprise_quote_28,pos_count4_vol_surprise_quote_28,win
1,2240,2018-08-27 11:59:59.999000+00:00,2241,2018-08-27 12:00:00+00:00,6713.01,2295,2018-09-05 12:00:00+00:00,6991.02,trail_stop,0.03881332958880157,54,0.004230416306500263,0.14735052824078934,0.14731887401746882,0.14838383905386873,0.1509228761755976,1.0070126033847047,1.0244639540056588,0.0002632132653675324,0.01247241608307146,0.014663880667857676,0.06305024197581677,0.058819825669316504,0.004230416306500263,4.0,0.06321079583015504,0.0589985786525172,0.004212217177637839,4.0,0.05941445392855861,0.052672644192687676,0.006741809735870935,4.0,0.06056743541677574,0.05356101452856505,0.007006420888210692,4.0,0.7321420012268898,0.7454379160890915,-0.013295914862201719,2.0,0.7456438895258646,0.7564627351189933,-0.010818845593128734,2.0,1
2,2295,2018-09-05 15:59:59.999000+00:00,2296,2018-09-05 16:00:00+00:00,6990.5,2298,2018-09-06 00:00:00+00:00,6697.27,trail_stop,-0.044339070475616804,2,-0.012780007758279838,0.055435751305502816,0.05556279621957408,0.08992854017234315,0.08784118436724773,1.622211985127663,1.5809352722299168,0.0386585155385905,0.058415102218392426,0.012642983305266198,0.07469578196324986,0.08747578972152971,-0.012780007758279852,3.0,0.07468865586148055,0.08751846763944257,-0.012829811777962025,3.0,0.04747020676749254,0.07303957046704743,-0.025569363699554884,3.0,0.04935230330868466,0.07516084695411084,-0.025808543645426174,3.0,1.2360283732791708,1.0874010010594768,0.14862737221969402,2.0,1.2403448789720408,1.1002798346545812,0.14006504431745959,2.0,0
3,2397,2018-09-22 15:59:59.999000+00:00,2398,2018-09-22 16:00:00+00:00,6687.47,2413,2018-09-25 04:00:00+00:00,6467.05,trail_stop,-0.035374729262206195,15,0.014600711643535519,0.11676544421999883,0.11727728382632378,0.08464870132125164,0.08650721904178366,0.7249465103885038,0.7376297968316899,0.0006355844511848724,0.03252003550792756,0.013440330334750308,0.11995600117870879,0.10535528953517327,0.014600711643535519,4.0,0.12022300887576862,0.10563764686099252,0.014585362014776102,4.0,0.12904039032938802,0.10832724495784721,0.020713145371540814,4.0,0.13255743018256602,0.1107033428235848,0.021854087358981228,4.0,1.0981816737610461,1.0830080365828796,0.015173637178166555,2.0,1.1248710426829662,1.1001863318000156,0.024684710882950656,2.0,0
4,2413,2018-09-25 07:59:59.999000+00:00,2414,2018-09-25 08:00:00+00:00,6379.99,2418,2018-09-26 00:00:00+00:00,6445.11,trend_exit,0.007684548224052179,4,-0.009756770317817756,0.07169005433345137,0.07242138276375193,0.07785391860935921,0.07678212791056328,1.0859793500397965,1.060213502979316,0.004650053172629339,0.0016073908117084843,0.013515520354706465,0.07709588576586188,0.08685265608367963,-0.009756770317817756,3.0,0.07730820937211397,0.08708707943070833,-0.00977887005859436,3.0,0.06983570680779624,0.08092381139112614,-0.0110881045833299,3.0,0.07032984727586901,0.08209990756778522,-0.011770060291916212,3.0,1.0845439611541356,1.0332354878091146,0.05130847334502109,2.0,1.0807522456700078,1.0383689171897548,0.04238332848025306,2.0,1
5,2431,2018-09-28 07:59:59.999000+00:00,2432,2018-09-28 08:00:00+00:00,6786.71,2437,2018-09-29 04:00:00+00:00,6503.82,trail_stop,-0.044075737866555165,5,0.01673979415712,0.180390450446297,0.18060125341882252,0.2311621092132408,0.23760562243947464,1.2814542490543794,1.3156366190242124,0.001737264685489509,0.018770595358084893,0.012645645306785414,0.1272887470150808,0.1105489528579608,0.01673979415712,4.0,0.12744714079910918,0.1107242660626987,0.016722874736410487,4.0,0.1448571804296674,0.11682924098374975,0.028027939445917638,4.0,0.14693770394837916,0.11792830818266908,0.029009395765710072,4.0,1.0789571456830174,1.0287083453621446,0.050248800320872755,4.0,1.0887924428368054,1.032311645665729,0.05648079717107635,4.0,0
6,2437,2018-09-29 07:59:59.999000+00:00,2438,2018-09-29 08:00:00+00:00,6549.04,2464,2018-10-03 16:00:00+00:00,6514.24,trend_exit,-0.007797367005619282,26,-0.012595734340687448,0.007705726429291749,0.008087092021947118,0.0065322537383670975,0.0067758448405071834,0.8477142029771607,0.8378592480608094,0.003112116912875729,0.009729868839765655,0.014025923615928002,0.07827457620938964,0.09087031055007709,-0.012595734340687448,3.0,0.07858943415218664,0.09112695582182173,-0.012537521669635093,3.0,0.07681031676157764,0.09096939189078918,-0.014159075129211537,3.0,0.07826806795344107,0.09207835388227596,-0.01381028592883489,3.0,1.0393211789062762,1.033667561372836,0.0056536175334400696,2.0,1.0439592404469225,1.037163077952308,0.006796162494614455,2.0,0
7,2471,2018-10-04 23:59:59.999000+00:00,2472,2018-10-05 00:00:00+00:00,6591.69,2509,2018-10-11 04:00:00+00:00,6340.52,trail_stop,-0.040505774787912396,37,0.00012384479068987264,0.16590897861668522,0.165890226769414,0.11853495736530506,0.11894399442987615,0.7144577608374486,0.7170042307266676,0.0003074921894151858,0.0033438969184559336,0.010912730667403224,0.07829978829171878,0.07817594350102891,0.00012384479068987264,3.0,0.07844148053807697,0.07836405160036311,7.74289377138554e-05,3.0,0.07569364348331543,0.07544754922323656,0.00024609426007887736,3.0,0.07584030405109793,0.07563258339718143,0.00020772065391649885,3.0,0.8135175712178657,0.8654293635263354,-0.05191179230846965,0.0,0.8131990346979894,0.8643818061053103,-0.05118277140732097,1.0,0
8,2509,2018-10-11 07:59:59.999000+00:00,2510,2018-10-11 08:00:00+00:00,6298.77,2511,2018-10-11 12:00:00+00:00,6278.7,trend_exit,-0.005675259385253373,1,-0.019454900431033737,0.044995495379076246,0.04553422509325072,0.07937291255244007,0.07786406657587348,1.7640190842159273,1.7100118958083432,0.00019116132202872202,0.004715813468086776,0.008950541723918891,-0.03746002839413149,-0.018005127963097757,-0.019454900431033734,2.0,-0.03752679449423584,-0.017971383602313925,-0.019555410891921917,2.0,-0.07210634296950535,-0.032472894553974674,-0.03963344841553068,2.0,-0.07180724423765461,-0.03218557450868829,-0.03962166972896632,2.0,1.4515246222555729,1.166198903274504,0.28532571898106895,2.0,1.4294106001980844,1.157070767107296,0.27233983309078846,2.0,0
9,2538,2018-10-16 03:59:59.999000+00:00,2539,2018-10-16 04:00:00+00:00,6730.97,2556,2018-10-19 00:00:00+00:00,6618.96,trail_stop,-0.019096317703545473,17,0.008510066700967593,-0.037481595289586236,-0.037336010314536934,-0.014874566644164706,-0.014778953153450016,0.3968498813682407,0.39583643321674805,0.0003854348258154177,0.03296616592877376,0.010018038748842153,0.005014123837277691,-0.0034959428636898967,0.008510066700967588,3.0,0.004978778063030168,-0.0034995933574207857,0.008478371420450954,3.0,0.034341971900303775,0.019019647373956866,0.015322324526346909,3.0,0.034615532349278534,0.019014035029860057,0.015601497319418477,3.0,1.4073671104531236,1.2876759187484452,0.11969119170467835,2.0,1.440783998313901,1.3065876537422458,0.1341963445716552,2.0,0
10,2556,2018-10-19 03:59:59.999000+00:00,2557,2018-10-19 04:00:00+00:00,6613.08,2596,2018-10-25 16:00:00+00:00,6546.14,trend_exit,-0.012593968143653989,39,-0.00633926511355236,0.10394260632333782,0.10415080299986772,0.08753052388349226,0.08626116686939757,0.8421043783644223,0.828233334595674,0.011567094948825045,0.006994538503637871,0.010226189372009148,-0.0037341565162881535,0.002605108597264207,-0.00633926511355236,1.0,-0.003703772307714563,0.002652951490784916,-0.006356723798499479,1.0,0.004881727499541253,0.01130960134534495,-0.006427873845803697,1.0,0.004938386236800605,0.011345086205467036,-0.006406699968666432,1.0,0.7245331188096851,0.8586882891749269,-0.13415517036524183,0.0,0.7211213928375148,0.8614004095809217,-0.14027901674340693,0.0,0
11,2675,2018-11-07 23:59:59.999000+00:00,2676,2018-11-08 00:00:00+00:00,6578.46,2685,2018-11-09 12:00:00+00:00,6425.81,trail_stop,-0.025643459018255488,9,-0.004840477487353085,-0.0006462092871752905,-0.0005040145478414392,-0.0004172169726830389,-0.0003289708931535894,0.6456375371929075,0.6527011860321981,0.0003707019408824758,0.013258891156558763,0.005945522225675684,-0.010041383163018733,-0.0052009056756656515,-0.004840477487353082,1.0,-0.00991946956764163,-0.0050795790424408875,-0.004839890525200743,1.0,-0.012038620761053928,-0.005785757011757196,-0.006252863749296732,1.0,-0.012010431415348159,-0.005678922483882384,-0.006331508931465775,1.0,1.1320637334410089,1.0994881205414606,0.032575612899548245,3.0,1.1438471484288568,1.1075573620448296,0.036289786384027245,3.0,0
