signal,measurement,operator,fold,direction,threshold,sharpe,cagr,mdd,trades
ema28_net_quote_norm_28,net_quote_norm_28,ema28,1,le,-0.045779897251,1.8506484286535982,0.5403207417325535,-0.22230495902951442,21
ema28_net_quote_norm_28,net_quote_norm_28,ema28,2,ge,0.023682610947,1.343999877537019,0.391177274563399,-0.2771130805293449,46
ema28_net_quote_norm_28,net_quote_norm_28,ema28,3,ge,0.015934648425,1.3101391465419998,0.3885820160562483,-0.3029418916763421,67
ema28_net_quote_norm_28,net_quote_norm_28,ema28,4,ge,0.014339980689,1.2498519039574536,0.3747309825347833,-0.3373727632446255,85
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,1,ge,-0.002679512868,1.9815015892930454,1.222067786605852,-0.3583391437469433,76
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,2,ge,-0.001972743908,1.5681471863372778,0.759324103249085,-0.3573189076922185,107
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,3,ge,-0.002823659119,1.5843623859123546,0.7353112975805915,-0.3583391437469434,154
osc_12_28_net_quote_norm_28,net_quote_norm_28,osc_12_28,4,ge,-0.003030600041,1.5262483538869671,0.6721302762250958,-0.3606727901745218,184
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,1,ge,4.0,1.8063169924692066,0.7968946946128956,-0.3878034574717957,45
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,2,ge,2.0,1.3082743405740287,0.6023368638178797,-0.4618430051680942,117
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,3,ge,2.0,1.3462376310804998,0.599200581333984,-0.4618430051680942,164
pos_count4_net_quote_norm_28,net_quote_norm_28,pos_count4,4,ge,3.0,1.3689814528080577,0.5462633642269523,-0.3526010157403583,156
vol_surprise_quote_28,vol_surprise_quote_28,level,1,le,0.471162382111,2.1743126548164398,1.0638048785053815,-0.3171733929451208,48
vol_surprise_quote_28,vol_surprise_quote_28,level,2,le,0.478455938933,1.568407741674351,0.5745161483212142,-0.32124542954533863,63
vol_surprise_quote_28,vol_surprise_quote_28,level,3,le,0.741944914866,1.4952907095547454,0.6842966774684485,-0.34825700112133484,148
vol_surprise_quote_28,vol_surprise_quote_28,level,4,le,0.692312175125,1.4684172768171717,0.6315815427490963,-0.3886499203899553,172
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,1,le,1.083924730755,1.785025593712809,1.054311152074444,-0.3632669727344947,81
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,2,le,1.084650065478,1.3624277911753928,0.6268300680212919,-0.3763624499944155,113
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,3,le,1.088192453676,1.5248307236088101,0.7032919521675383,-0.3763624499944155,158
ema12_vol_surprise_quote_28,vol_surprise_quote_28,ema12,4,le,1.090844607893,1.5012438293707548,0.663559411099488,-0.3523138716325973,188
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,1,le,1.152138928138,1.8483826275174597,1.145493106149754,-0.3714684525500561,89
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,2,le,0.954603949649,1.4223061775842427,0.5738350154333314,-0.43758614553678543,84
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,3,le,0.949872457657,1.431859028317272,0.5567072889541778,-0.4375861455367859,123
ema28_vol_surprise_quote_28,vol_surprise_quote_28,ema28,4,le,1.086059786339,1.3827216290875355,0.5855878328669673,-0.39013161676466235,195
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,1,le,-0.004359242778,1.8972223570053102,1.1911705286118757,-0.3337115317158912,78
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,2,le,0.010334998307,1.4800120837162942,0.7226380540418047,-0.3263735499310034,111
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,3,ge,0.194875316123,1.5131602159622954,0.49400096430165963,-0.28557225800754826,72
osc_12_28_vol_surprise_quote_28,vol_surprise_quote_28,osc_12_28,4,le,0.001488173308,1.459222584653377,0.6355129642729986,-0.3263735499310034,176
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,1,le,2.0,1.7307765682636866,1.0668675714007003,-0.36282941483417297,90
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,2,le,1.0,1.3930013751344807,0.6527842164779123,-0.34431461574653255,109
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,3,le,1.0,1.4761216841174927,0.6727567512569803,-0.34431461574653255,151
pos_count4_vol_surprise_quote_28,vol_surprise_quote_28,pos_count4,4,le,1.0,1.4708746139463595,0.6443136515900634,-0.34431461574653255,179
vdo,imbalance_ratio_base,osc_12_28_builtin,1,ge,-0.000649018469,1.9584958921113707,1.2057339005805106,-0.38861559449066785,75
vdo,imbalance_ratio_base,osc_12_28_builtin,2,ge,0.000621295806,1.5899838954708667,0.7753069190807886,-0.37047495985587087,104
vdo,imbalance_ratio_base,osc_12_28_builtin,3,ge,-0.003391021938,1.5996014899254334,0.7693527234111592,-0.37383379849290943,162
vdo,imbalance_ratio_base,osc_12_28_builtin,4,ge,0.000715310549,1.589883263418556,0.7085230786451386,-0.3648903991620457,175
