signal,measurement,operator,fold,direction,threshold,sharpe,cagr,mdd,trades
imbalance_ratio_base,imbalance_ratio_base,level,1,ge,0.081149127394,1.7410079182892466,0.9137344951921984,-0.3288322849389228,63
imbalance_ratio_base,imbalance_ratio_base,level,2,ge,0.070551624624,1.481013892171031,0.6440432728837477,-0.3245089600511276,81
imbalance_ratio_base,imbalance_ratio_base,level,3,ge,0.081567648931,1.4849823706942917,0.5742678872650759,-0.3288322849389229,100
imbalance_ratio_base,imbalance_ratio_base,level,4,ge,0.08364489866,1.400164886216241,0.5076119206409508,-0.32966528488576496,123
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,1,ge,0.033286660709,1.6672564489723394,0.6061546122630057,-0.3933529445480124,42
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,2,ge,0.031819855581,1.2986476371463926,0.3654743041602295,-0.39303290954139924,47
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,3,ge,0.031907352031,1.3237057242791865,0.3413682319613165,-0.39303290954139924,53
ema12_imbalance_ratio_base,imbalance_ratio_base,ema12,4,ge,-0.010007452521,1.2726339990948243,0.5089910024361073,-0.41456981258792647,172
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,1,le,0.07070905346,1.66632095709221,1.048918379775877,-0.3870240771524406,94
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,2,le,-0.049170873451,1.3989165430625627,0.2686202825881483,-0.2138912759895487,17
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,3,le,-0.052336257581,1.325128505066555,0.22432183321774035,-0.2097621020990379,21
ema28_imbalance_ratio_base,imbalance_ratio_base,ema28,4,le,-0.05422752195,1.2481449396966764,0.2054879685190527,-0.1821949962771764,31
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,1,ge,-0.000649018469,1.9584958921113707,1.2057339005805106,-0.38861559449066785,75
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,2,ge,0.000621295806,1.5899838954708667,0.7753069190807886,-0.37047495985587087,104
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,3,ge,-0.003391021938,1.5996014899254334,0.7693527234111592,-0.37383379849290943,162
osc_12_28_imbalance_ratio_base,imbalance_ratio_base,osc_12_28,4,ge,0.000715310549,1.589883263418556,0.7085230786451386,-0.3648903991620457,175
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,1,ge,4.0,1.8063169924692066,0.7968946946128956,-0.3878034574717957,45
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,2,ge,2.0,1.3082743405740287,0.6023368638178797,-0.4618430051680942,117
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,3,ge,2.0,1.3462376310804998,0.599200581333984,-0.4618430051680942,164
pos_count4_imbalance_ratio_base,imbalance_ratio_base,pos_count4,4,ge,3.0,1.3624069658427984,0.5421579158756065,-0.3526010157403583,156
imbalance_ratio_quote,imbalance_ratio_quote,level,1,ge,0.081334056191,1.792482985894306,0.9644145893519176,-0.3288322849389228,63
imbalance_ratio_quote,imbalance_ratio_quote,level,2,ge,0.070720127546,1.481013892171031,0.6440432728837477,-0.3245089600511276,81
imbalance_ratio_quote,imbalance_ratio_quote,level,3,ge,0.081648317679,1.4849823706942917,0.5742678872650759,-0.3288322849389229,100
imbalance_ratio_quote,imbalance_ratio_quote,level,4,ge,0.083687184963,1.4225496079264783,0.5183877367990939,-0.32966528488576496,122
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,1,ge,0.033482362578,1.6672564489723394,0.6061546122630057,-0.3933529445480124,42
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,2,ge,0.031925313228,1.2986476371463926,0.3654743041602295,-0.39303290954139924,47
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,3,ge,0.032007479862,1.3237057242791865,0.3413682319613165,-0.39303290954139924,53
ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,4,ge,-0.009855758092,1.278641512122017,0.512429339587209,-0.41456981258792647,172
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,1,le,0.070812756797,1.66632095709221,1.048918379775877,-0.3870240771524406,94
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,2,le,-0.04900440247,1.3989165430625627,0.2686202825881483,-0.2138912759895487,17
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,3,le,-0.010354810116,1.3266115649887433,0.4976085641443204,-0.3371285719844649,118
ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,4,le,-0.054054795889,1.2481449396966764,0.2054879685190527,-0.1821949962771764,31
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,1,ge,0.0,1.9805463197735382,1.223904464106567,-0.36608288022520274,74
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,2,ge,0.000614554065,1.5899838954708667,0.7753069190807886,-0.37047495985587087,104
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,3,ge,-0.003382111314,1.5996014899254334,0.7693527234111592,-0.37383379849290943,162
osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,4,ge,0.0,1.5924805354061733,0.7151377324820019,-0.3709393067151705,180
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,1,ge,4.0,1.8063169924692066,0.7968946946128956,-0.3878034574717957,45
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,2,ge,2.0,1.3082743405740287,0.6023368638178797,-0.4618430051680942,117
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,3,ge,2.0,1.3462376310804998,0.599200581333984,-0.4618430051680942,164
pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,4,ge,3.0,1.3689814528080577,0.5462633642269523,-0.3526010157403583,156
net_quote_norm_28,net_quote_norm_28,level,1,ge,0.058121645544,1.7299555510118845,0.95031324054292,-0.33851969933255643,71
net_quote_norm_28,net_quote_norm_28,level,2,ge,0.065877987807,1.3281996759525476,0.5502473515400172,-0.298291707576396,83
net_quote_norm_28,net_quote_norm_28,level,3,ge,0.12928349378,1.35038680116328,0.44830013675664393,-0.30081748841333233,83
net_quote_norm_28,net_quote_norm_28,level,4,le,0.019930676991,1.2918601163826298,0.5752706278347222,-0.472431216485678,225
ema12_net_quote_norm_28,net_quote_norm_28,ema12,1,ge,0.052525494497,2.0019389497059428,0.7315964468375378,-0.22791656925347514,33
ema12_net_quote_norm_28,net_quote_norm_28,ema12,2,ge,0.05847022237,1.6009479955217534,0.43041578929742497,-0.22489140664474094,34
ema12_net_quote_norm_28,net_quote_norm_28,ema12,3,ge,0.069386568004,1.4852815318919839,0.3305132045893069,-0.2248914066447404,34
ema12_net_quote_norm_28,net_quote_norm_28,ema12,4,ge,0.02536402431,1.2740385927039608,0.3912449728802956,-0.29615728461478075,96
