trade_id,entry_ts_ms,exit_ts_ms,entry_bar_idx,exit_bar_idx,entry_price,exit_price,pnl,return_pct,days_held,entry_reason,exit_reason
1,1504742400000,1504900800000,125,136,4624.3909249425,4191.6751789675,-947.8994039386944,-9.357248403050612,1.8333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
2,1506916800000,1508068800000,276,356,4415.41210275,5413.58235475,2023.3223261756975,22.606502604328192,13.333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
3,1508385600000,1508817600000,378,408,5575.811632559999,5624.371407500001,79.37386431560299,0.8709005637212774,5.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
4,1508875200000,1509998400000,412,490,5640.7064787675,6999.005741502501,2650.60534849565,24.08030390958742,13.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
5,1510185600000,1510329600000,503,513,7310.3148357525,6753.261670005001,-1064.7312700432558,-7.620098152587396,1.6666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
6,1510344000000,1510459200000,514,522,6532.8379415775,5950.045489,-1144.827350591655,-8.920969076370067,1.3333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
7,1510617600000,1511985600000,533,628,6472.457606497499,9290.702325,4972.783690039259,43.54211166517881,15.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
8,1512000000000,1512057600000,629,633,9697.570301969998,8971.0122549975,-1253.4203650345207,-7.492165814202989,0.6666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
9,1512072000000,1512835200000,634,687,9770.783460255,14391.078121370001,7130.1964294363825,47.28683917629692,8.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
10,1512849600000,1513684800000,688,746,13921.911477,17196.990103550004,5192.120838142178,23.524633323237754,9.666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
11,1513843200000,1513915200000,757,762,17063.070281505,13775.214447250002,-5312.307418438104,-19.268840718652903,0.8333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
12,1513929600000,1514102400000,763,775,12739.179631612498,13214.775307000002,788.9558782160784,3.7333304744938456,2.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
13,1514419200000,1514433600000,797,798,15475.433834992498,14149.270110857502,-1985.6845450592482,-8.569476877193082,0.16666666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
14,1515139200000,1515427200000,847,867,14931.870679237498,14283.605674475002,-932.4138480012334,-4.341485529096478,3.3333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
15,1518840000000,1519243200000,1104,1132,10469.501654759999,10375.117096375001,-208.2226162804982,-0.9015191123455835,4.666666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
16,1519718400000,1520366400000,1165,1210,10610.602649999999,10696.295676750002,128.58963061467512,0.8076169617943663,7.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
17,1523764800000,1524672000000,1446,1509,8092.086020999999,8963.1201530225,2086.6188058352927,10.76402462556696,10.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
18,1524787200000,1525665600000,1517,1578,9276.2993467575,9342.420567942503,122.13672079724347,0.7127974067386633,10.166666666666666,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
19,1525838400000,1526025600000,1590,1603,9034.8380664525,8701.631837585002,-836.7237318541775,-3.68801550638449,2.1666666666666665,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
20,1530792000000,1531224000000,1934,1964,6620.135173379999,6358.696531265001,-858.1126685647869,-3.949143563809099,5.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
21,1531828800000,1532649600000,2006,2063,6682.43742894,7912.081980000002,3658.560674253189,18.401138269319397,9.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
22,1532894400000,1533052800000,2080,2091,8229.223055249999,7750.683499610001,-1411.609493672764,-5.8151243735543705,1.8333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
23,1533182400000,1533398400000,2100,2115,7652.646911249999,6977.267496062501,-1994.4510336444655,-8.825435473765776,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
24,1535371200000,1536148800000,2252,2306,6719.7246882525,6984.030727755001,764.136858229158,3.9332867306984154,9.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
25,1537632000000,1537848000000,2409,2424,6694.159141867501,6460.584566762501,-761.7559760346376,-3.489229493277901,2.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
26,1538121600000,1538193600000,2443,2448,6793.498406677499,6497.317805955,-908.2974514225498,-4.359765513912173,0.8333333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
27,1538222400000,1538582400000,2450,2475,6591.54660624,6507.727388560001,-273.04962242201145,-1.2716168554531726,4.166666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
28,1538697600000,1539230400000,2483,2520,6598.2833379224985,6334.181065130001,-785.0042571505364,-4.002590662856431,6.166666666666667,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
29,1539662400000,1539907200000,2550,2567,6737.7026527425,6612.34269474,-363.7933286352745,-1.8605742114706225,2.8333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
30,1539964800000,1540483200000,2571,2607,6578.693763029999,6539.595496535001,-131.80009455261097,-0.594316560450292,6.0,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trend_exit
31,1545508800000,1545710400000,2956,2970,3881.738829464999,3705.391827275,-823.3896068081958,-4.54298987998386,2.3333333333333335,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
32,1546646400000,1547107200000,3035,3067,3793.8810375225,3773.7634043850007,-113.62188305343079,-0.5302652597308777,5.333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
33,1549742400000,1551024000000,3250,3339,3657.2144733899995,3774.482684565001,506.07964357668243,3.206489858012107,14.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
34,1551297600000,1551686400000,3358,3385,3817.0541933099994,3723.2739317500004,-444.2115510741678,-2.4568752973003094,4.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
35,1551830400000,1552377600000,3395,3433,3861.4385443949996,3830.8562686725004,-156.12657043460422,-0.7919917764039108,6.333333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
36,1552449600000,1553529600000,3438,3513,3891.7788619724997,3958.95807073,258.29387493746617,1.726182579743285,12.5,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
37,1553572800000,1554336000000,3516,3569,3940.0771240349995,4927.658643147501,4141.493932889574,25.065030151012046,8.833333333333334,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
38,1554480000000,1554984000000,3579,3614,4971.467741624999,4996.010240252501,71.18452652392807,0.49366705977016423,5.833333333333333,vtrend_e5_ema21_d1_entry,vtrend_e5_ema21_d1_trail_stop
