year,n_periods,total_bars,mean_ret,median_ret,mean_range
2017,14,401,0.0255,0.0041,0.2058
2018,18,1642,-0.0625,-0.0106,0.1902
2019,26,1221,-0.0105,0.0078,0.1115
2020,30,891,0.0021,0.0102,0.0902
2021,24,1420,-0.0229,0.0029,0.1564
2022,19,1536,-0.0253,0.0004,0.1209
2023,31,949,0.0071,0.0,0.0595
2024,30,1061,-0.005,0.0,0.082
2025,23,1398,-0.0099,0.0006,0.08
2026,3,202,-0.0848,-0.0089,0.1398
