start_dt,end_dt,duration_bars,duration_days,start_price,end_price,ret,range_pct,ret_pct
2022-04-06 12:00:00,2022-07-18 16:00:00,620,103,44168.35,21617.92,-0.5105563146461211,61.99,-51.06
2021-05-12 16:00:00,2021-07-25 04:00:00,442,73,54432.39,34695.51,-0.36259440380993735,49.37,-36.26
2025-10-29 16:00:00,2026-01-02 20:00:00,392,65,110640.0,89995.13,-0.186594992769342,28.41,-18.66
2023-07-19 20:00:00,2023-09-17 04:00:00,357,59,29909.21,26495.93,-0.11412136930397021,18.44,-11.41
2018-10-25 12:00:00,2018-12-22 12:00:00,349,58,6546.14,3830.1,-0.4149071055614454,52.84,-41.49
2018-05-11 04:00:00,2018-07-05 04:00:00,331,55,8723.0,6615.0,-0.24165997936489736,37.45,-24.17
2025-02-01 16:00:00,2025-03-26 20:00:00,320,53,101669.6,86909.17,-0.14518036856641525,25.47,-14.52
2019-11-12 00:00:00,2019-12-28 20:00:00,282,46,8740.65,7316.14,-0.16297529359944618,28.06,-16.3
2019-09-16 16:00:00,2019-10-26 16:00:00,241,40,10121.39,8996.16,-0.11117346530466665,30.33,-11.12
2021-11-16 00:00:00,2021-12-25 16:00:00,239,39,60907.41,50889.15,-0.16448343477419247,35.49,-16.45
2018-01-08 12:00:00,2018-02-16 20:00:00,237,39,14299.98,10159.98,-0.28951089442083133,66.43,-28.95
2018-03-06 16:00:00,2018-04-14 20:00:00,236,39,10707.0,7999.01,-0.25291771738115254,42.81,-25.29
2021-12-28 12:00:00,2022-02-05 12:00:00,235,39,48937.48,41761.85,-0.14662851458636617,33.62,-14.66
2020-02-25 04:00:00,2020-04-03 08:00:00,230,38,9520.16,7004.42,-0.26425396211828367,61.9,-26.43
2024-04-09 16:00:00,2024-05-16 00:00:00,219,36,69000.77,65975.39,-0.04384559766506957,21.38,-4.38
2024-06-12 16:00:00,2024-07-15 20:00:00,200,33,67532.92,64724.14,-0.04159127133848206,24.25,-4.16
2026-01-20 16:00:00,2026-02-21 08:00:00,191,31,89725.76,68092.45,-0.2411047841779217,34.8,-24.11
2019-01-10 04:00:00,2019-02-09 12:00:00,183,30,3777.02,3645.02,-0.03494818666567823,17.11,-3.49
2022-11-07 04:00:00,2022-12-06 16:00:00,178,29,20635.74,16970.93,-0.17759527887054216,26.37,-17.76
2025-08-14 12:00:00,2025-09-10 20:00:00,165,27,118257.25,113960.0,-0.03633815262911999,11.78,-3.63
