test,KW_statistic,p_value,significant_05,half1_p,half2_p,stable
Return by hour,57.08896889529371,9.953568117044493e-05,True,0.0001181296192758982,0.012646452984757996,STABLE
|Return| by hour,589.4646655512679,7.388194236878246e-110,True,8.920414535027534e-30,4.6631978325659315e-114,STABLE
Return by DoW,4.367309498334012,0.6270998020102141,False,,,
|Return| by DoW,769.6503660396236,5.550097091675863e-163,True,1.6443960733204732e-18,1.860214644230757e-192,STABLE
