start_bar,end_bar,start_dt,end_dt,duration_bars,duration_days,start_price,end_price,ret,high,low,range_pct,year
0,123,2017-08-17 04:00:00,2017-09-06 16:00:00,124,20,4349.99,4619.43,0.061940372276718,4939.19,3400.0,0.353837595028954,2017
135,274,2017-09-08 16:00:00,2017-10-01 20:00:00,140,23,4190.01,4378.48,0.04498079956849721,4426.62,2817.0,0.3841566010582313,2017
355,376,2017-10-15 08:00:00,2017-10-18 20:00:00,22,3,5400.01,5512.06,0.020749961574145326,5788.91,5037.95,0.13906640913627938,2017
407,410,2017-10-24 00:00:00,2017-10-24 12:00:00,4,0,5625.03,5637.96,0.0022986544071765813,5925.0,5482.22,0.0787160246256464,2017
489,501,2017-11-06 16:00:00,2017-11-08 16:00:00,13,2,7028.95,7070.0,0.0058401325944843485,7770.02,6651.0,0.15920158771936072,2017
512,512,2017-11-10 12:00:00,2017-11-10 12:00:00,1,0,6760.02,6760.02,0.0,6858.78,6508.0,0.05189037902254723,2017
521,531,2017-11-12 00:00:00,2017-11-13 16:00:00,11,1,5956.02,6366.97,0.06899741773869117,6697.47,5325.01,0.23043240284619593,2017
627,627,2017-11-29 16:00:00,2017-11-29 16:00:00,1,0,9306.0,9306.0,0.0,10975.0,8520.0,0.26380829572318937,2017
632,632,2017-11-30 12:00:00,2017-11-30 12:00:00,1,0,8980.0,8980.0,0.0,9810.04,8850.8,0.10681959910913158,2017
686,686,2017-12-09 12:00:00,2017-12-09 12:00:00,1,0,14405.48,14405.48,0.0,15100.0,14299.95,0.05553789252423379,2017
745,755,2017-12-19 08:00:00,2017-12-21 00:00:00,11,1,17250.0,16901.03,-0.020230144927536275,18695.2,14777.66,0.22710376811594207,2017
761,761,2017-12-22 00:00:00,2017-12-22 00:00:00,1,0,13780.0,13780.0,0.0,15699.34,13000.0,0.19588824383164008,2017
774,795,2017-12-24 04:00:00,2017-12-27 16:00:00,22,3,13252.12,14793.25,0.11629309121861242,16498.05,11640.0,0.36658662915820256,2017
797,845,2017-12-28 00:00:00,2018-01-05 00:00:00,49,8,14163.42,14965.37,0.05662121154353961,15539.99,11750.0,0.2675900312212728,2017
866,1102,2018-01-08 12:00:00,2018-02-16 20:00:00,237,39,14299.98,10159.98,-0.28951089442083133,15500.0,6000.01,0.6643358941760757,2018
1131,1163,2018-02-21 16:00:00,2018-02-27 00:00:00,33,5,10385.5,10270.0,-0.011121274854364205,10933.44,9274.8,0.1597072841943095,2018
1209,1444,2018-03-06 16:00:00,2018-04-14 20:00:00,236,39,10707.0,7999.01,-0.25291771738115254,11013.5,6430.0,0.42808443074624075,2018
1508,1515,2018-04-25 12:00:00,2018-04-26 16:00:00,8,1,8972.09,8881.54,-0.010092408792154228,9210.21,8651.62,0.06225862647387602,2018
1577,1588,2018-05-07 00:00:00,2018-05-08 20:00:00,12,1,9350.02,9187.56,-0.017375363902965013,9689.67,9060.54,0.06728648708772807,2018
1602,1932,2018-05-11 04:00:00,2018-07-05 04:00:00,331,55,8723.0,6615.0,-0.24165997936489736,9016.8,5750.0,0.37450418434024985,2018
1963,2004,2018-07-10 08:00:00,2018-07-17 04:00:00,42,6,6365.06,6696.67,0.0520984876811843,6754.99,6070.0,0.10761721020697365,2018
2062,2078,2018-07-26 20:00:00,2018-07-29 12:00:00,17,2,7920.0,8227.12,0.0387777777777778,8299.08,7805.0,0.062383838383838375,2018
2090,2098,2018-07-31 12:00:00,2018-08-01 20:00:00,9,1,7758.44,7604.58,-0.019831306293533246,7981.45,7430.0,0.07107743309221955,2018
2114,2250,2018-08-04 12:00:00,2018-08-27 04:00:00,137,22,6981.44,6709.43,-0.03896187605995316,7400.0,5880.0,0.21772012650685246,2018
2305,2407,2018-09-05 08:00:00,2018-09-22 08:00:00,103,17,6991.9,6666.78,-0.04649952087415432,7393.59,6111.0,0.183439408458359,2018
2423,2441,2018-09-25 00:00:00,2018-09-28 00:00:00,19,3,6468.18,6702.26,0.03618946906239473,6750.0,6325.02,0.06570318080201842,2018
2447,2448,2018-09-29 00:00:00,2018-09-29 04:00:00,2,0,6500.89,6545.81,0.006909823116527214,6634.58,6464.57,0.026151803829937165,2018
2474,2481,2018-10-03 12:00:00,2018-10-04 16:00:00,8,1,6512.47,6611.09,0.015143255938223188,6643.46,6450.73,0.02959399429095266,2018
