sample,q,VR,z_homo,p_homo,z_hetero,p_hetero,n_periods,t_stat,p_value,median_VR
FULL,2,0.9550672905901377,-6.138044935011188,8.354323899339988e-10,-0.00016920432341249365,0.9998649944833722,,,,
FULL,5,0.974129369869583,-1.6130723417027104,0.10672879198900054,-4.291423618110292e-05,0.999965759393523,,,,
FULL,10,0.9474862797023197,-2.124652053716947,0.033615656955862105,-5.715133314210046e-05,0.9999543998336815,,,,
FULL,20,0.951624092825955,-1.3296829562979333,0.18362275270398065,-3.836231195476661e-05,0.9999693913035821,,,,
FLAT_per_period,2,0.8241526521241721,,,,,154.0,-8.627413075906743,7.508610824902786e-15,0.8651405268787256
FLAT_per_period,5,0.782165464107759,,,,,111.0,-7.627536571222989,9.179398794649566e-12,0.8358513634831274
FLAT_per_period,10,0.75077357985974,,,,,80.0,-7.163122369731222,3.637824214867855e-10,0.7405341206763891
FLAT_per_period,20,0.7199099453182021,,,,,58.0,-6.139948090562821,8.475911439625783e-08,0.6844328553207788
FLAT_concat,2,0.9520974067669601,-4.959711529936481,7.059793638575229e-07,-0.00023429595534434671,0.9998130588762826,,,,
FLAT_concat,5,0.9459385810854434,-2.554842982838,0.010623570858578457,-0.00011789009237820835,0.9999059373156376,,,,
FLAT_concat,10,0.8718091178370745,-3.9309914861453796,8.459626806045506e-05,-0.00018493886796006477,0.9998524401334035,,,,
FLAT_concat,20,0.8241783972805589,-3.662867009072622,0.0002494080417436706,-0.00018704241777988233,0.9998507617435084,,,,
Hurst_FULL,-,0.575942568399753,,,,,,,,
Hurst_FLAT_concat,-,0.513740209750419,,,,,,,,
Hurst_FLAT_longest,-,0.6210556406823146,,,,,,,,
