,n,mean_bps,median_bps,std_bps,skew,kurtosis,jb_stat,jb_p,q1_bps,q3_bps,min_bps,max_bps
FLAT,10720,-2.0491,1.2468,157.3713,-0.1263,22.4888,225928.36,0.0,-51.0644,52.2976,-2293.66,2716.24
IN_TRADE,7941,6.2301,3.4952,135.2798,-0.3217,13.9715,64724.86,0.0,-44.8452,54.3432,-1474.29,1272.03
FULL,18661,1.474,2.102,148.4295,-0.2021,20.485,326411.18,0.0,-48.3108,53.2867,-2293.66,2716.24
