,value
total_h4_bars,18662.0
in_trade_bars,7941.0
flat_bars,10721.0
in_trade_pct,42.55
flat_pct,57.45
total_trades,217.0
sharpe,1.3047
cagr_pct,57.44
mdd_pct,48.38
win_rate_pct,42.86
avg_exposure,0.4255
in_trade_periods,217.0
flat_periods,218.0
in_trade_mean_bars,36.6
in_trade_median_bars,28.0
in_trade_max_bars,212.0
in_trade_q25_bars,14.0
in_trade_q75_bars,50.0
flat_mean_bars,49.2
flat_median_bars,11.0
flat_max_bars,620.0
flat_mean_days,8.2
flat_median_days,1.8
flat_max_days,103.3
flat_q25_bars,4.0
flat_q75_bars,48.5
