config_id,candidate_id,param_1_name,param_1_value,param_2_name,param_2_value,param_3_name,param_3_value,param_4_name,param_4_value
cfg_001,btcsd_20260318_c1_av4h,q_d1_antivol_rank,0.35,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.45,,
cfg_002,btcsd_20260318_c1_av4h,q_d1_antivol_rank,0.5,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.35,,
cfg_003,btcsd_20260318_c1_av4h,q_d1_antivol_rank,0.5,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.45,,
cfg_004,btcsd_20260318_c1_av4h,q_d1_antivol_rank,0.65,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.35,,
cfg_005,btcsd_20260318_c1_av4h,q_d1_antivol_rank,0.65,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.45,,
cfg_006,btcsd_20260318_c1_av4h,q_d1_antivol_rank,0.65,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.45,,
cfg_007,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.3,theta_h1_ret168_entry,-0.04,theta_h1_ret168_hold,0.01,,
cfg_008,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.3,theta_h1_ret168_entry,-0.04,theta_h1_ret168_hold,0.04,,
cfg_009,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.3,theta_h1_ret168_entry,-0.01,theta_h1_ret168_hold,0.01,,
cfg_010,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.3,theta_h1_ret168_entry,-0.01,theta_h1_ret168_hold,0.04,,
cfg_011,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.45,theta_h1_ret168_entry,-0.04,theta_h1_ret168_hold,0.01,,
cfg_012,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.45,theta_h1_ret168_entry,-0.04,theta_h1_ret168_hold,0.04,,
cfg_013,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.45,theta_h1_ret168_entry,-0.01,theta_h1_ret168_hold,0.01,,
cfg_014,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.45,theta_h1_ret168_entry,-0.01,theta_h1_ret168_hold,0.04,,
cfg_015,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.6,theta_h1_ret168_entry,-0.04,theta_h1_ret168_hold,0.01,,
cfg_016,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.6,theta_h1_ret168_entry,-0.04,theta_h1_ret168_hold,0.04,,
cfg_017,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.6,theta_h1_ret168_entry,-0.01,theta_h1_ret168_hold,0.01,,
cfg_018,btcsd_20260318_c2_flow1hpb,q_h4_rangepos_min,0.6,theta_h1_ret168_entry,-0.01,theta_h1_ret168_hold,0.04,,
cfg_019,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.35,rho_m15_relvol_min,1.1,,
cfg_020,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.35,rho_m15_relvol_min,1.3,,
cfg_021,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.35,rho_m15_relvol_min,1.5,,
cfg_022,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.45,rho_m15_relvol_min,1.1,,
cfg_023,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.45,rho_m15_relvol_min,1.3,,
cfg_024,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.55,q_h4_rangepos_hold,0.45,rho_m15_relvol_min,1.5,,
cfg_025,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.35,rho_m15_relvol_min,1.1,,
cfg_026,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.35,rho_m15_relvol_min,1.3,,
cfg_027,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.35,rho_m15_relvol_min,1.5,,
cfg_028,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.45,rho_m15_relvol_min,1.1,,
cfg_029,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.45,rho_m15_relvol_min,1.3,,
cfg_030,btcsd_20260318_c3_trade4h15m,q_h4_rangepos_entry,0.65,q_h4_rangepos_hold,0.45,rho_m15_relvol_min,1.5,,
