scenario,model,total_score,return_term,mdd_penalty,sharpe_term,profit_factor_term,trade_count_term,reject_term,residual
harsh,candidate,39.1261,47.25,-22.83,6.8976,2.8085000000000004,5.0,0.0,0.0
harsh,baseline,91.0416,93.625,-21.54,9.4976,4.459,5.0,0.0,0.0
