trade_id,entry_time,exit_time,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-01-05 00:00:00,2019-01-10 08:00:00,3793.8810375224994,3773.7634043850007,2.6318754772608846,-67.84521835659143,-0.5302652597308666,5.333333333333333,vtrend_a3_entry,vtrend_trail_stop
2,2019-02-09 20:00:00,2019-02-24 16:00:00,3657.214473389999,3774.482684565001,2.7076136317271264,302.1872459915212,3.2064898580121293,14.833333333333334,vtrend_a3_entry,vtrend_trail_stop
3,2019-03-01 12:00:00,2019-03-04 12:00:00,3832.4095371449994,3703.8733468950004,2.658699982030445,-356.5103987091825,-3.3539262702532935,3.0,vtrend_a3_entry,vtrend_trail_stop
4,2019-03-05 08:00:00,2019-03-25 16:00:00,3732.9201222975003,3958.95807073,2.630109796754135,578.8858810003749,6.055258109658679,20.333333333333332,vtrend_a3_entry,vtrend_trail_stop
5,2019-03-26 08:00:00,2019-04-11 12:00:00,3929.9069614949995,4996.010240252501,2.641615644163258,2796.4387912459824,27.12795211701242,16.166666666666668,vtrend_a3_entry,vtrend_trail_stop
6,2019-04-14 04:00:00,2019-04-26 00:00:00,5039.63585865,5215.2508351175,2.610904014029913,438.08906797339296,3.4846759050274567,11.833333333333334,vtrend_a3_entry,vtrend_trail_stop
7,2019-04-30 00:00:00,2019-05-17 04:00:00,5243.379449534999,7336.597895985001,2.5891185436387825,5391.097713100891,39.92117043208909,17.166666666666668,vtrend_a3_entry,vtrend_trail_stop
8,2019-05-18 00:00:00,2019-05-31 00:00:00,7362.637118819999,8258.834966775003,2.572233391382084,2273.3645531814436,12.172239830538278,13.0,vtrend_a3_entry,vtrend_trail_stop
9,2019-06-05 12:00:00,2019-06-08 08:00:00,7798.542697687499,7902.131937510001,2.7158940325808203,249.14536881289314,1.3283153511901569,2.8333333333333335,vtrend_a3_entry,vtrend_trend_exit
10,2019-06-08 12:00:00,2019-06-08 16:00:00,7989.3133253324995,7911.182879775001,2.6782108142415604,-241.03152752668757,-0.977936931197354,0.16666666666666666,vtrend_a3_entry,vtrend_trend_exit
11,2019-06-13 04:00:00,2019-06-27 16:00:00,8090.0940305025,11818.1729575,2.6111374253686175,9688.238100448045,46.08202219827524,14.5,vtrend_a3_entry,vtrend_trail_stop
12,2019-06-30 04:00:00,2019-07-01 16:00:00,12145.936833449998,10379.782427542501,2.5330640333890453,-4513.221183328293,-14.541113049785459,1.5,vtrend_a3_entry,vtrend_trail_stop
13,2019-07-03 04:00:00,2019-07-11 08:00:00,11300.752282364998,11574.017296400001,2.319659175400672,593.6100339955265,2.418113477820749,8.166666666666666,vtrend_a3_entry,vtrend_trail_stop
14,2019-07-12 20:00:00,2019-07-14 16:00:00,11602.233537659999,10402.769423295002,2.3070861863571595,-2803.2672177371205,-10.338217296450935,1.8333333333333333,vtrend_a3_entry,vtrend_trail_stop
15,2019-08-04 16:00:00,2019-08-10 20:00:00,10955.166956054998,11320.231272890001,2.1841924741124688,760.2823874708338,3.3323482727319886,6.166666666666667,vtrend_a3_entry,vtrend_trail_stop
16,2019-08-12 00:00:00,2019-08-13 16:00:00,11550.621964769998,10941.789998185002,2.1342139352480873,-1334.405848346225,-5.270988596475279,1.6666666666666667,vtrend_a3_entry,vtrend_trail_stop
17,2019-09-06 12:00:00,2019-09-09 04:00:00,10845.2070785925,10289.922355055001,2.14677037395827,-1225.2039442951536,-5.120093323377695,2.6666666666666665,vtrend_a3_entry,vtrend_trail_stop
18,2019-09-14 16:00:00,2019-09-16 20:00:00,10368.140369445,10111.2711403475,2.1241928284698424,-577.8572087680441,-2.477486028781939,2.1666666666666665,vtrend_a3_entry,vtrend_trend_exit
19,2019-11-01 12:00:00,2019-11-08 12:00:00,9173.726851139998,9017.245986567501,2.3342695535993796,-396.84154203812795,-1.7057502050330964,7.0,vtrend_a3_entry,vtrend_trail_stop
20,2019-11-09 12:00:00,2019-11-12 04:00:00,8827.0904745675,8731.9115351625,2.3774120536250987,-257.41858539502573,-1.0782594749564112,2.6666666666666665,vtrend_a3_entry,vtrend_trend_exit
21,2019-12-29 04:00:00,2019-12-31 16:00:00,7314.368886765,7187.806798750001,2.829658618161343,-388.63606226477714,-1.730321371184973,2.5,vtrend_a3_entry,vtrend_trail_stop
22,2020-01-05 00:00:00,2020-01-10 00:00:00,7361.5460285475,7809.924214435001,2.7545998687446986,1202.8326676697143,6.090815491049373,5.0,vtrend_a3_entry,vtrend_trail_stop
23,2020-01-11 20:00:00,2020-01-19 16:00:00,8159.9238079425,8622.351177745,2.628550674816317,1181.5173444377506,5.667054995689957,7.833333333333333,vtrend_a3_entry,vtrend_trail_stop
24,2020-01-22 04:00:00,2020-01-24 04:00:00,8723.71717875,8312.271490147501,2.590225647998266,-1098.0331635868533,-4.716403342427633,2.0,vtrend_a3_entry,vtrend_trail_stop
25,2020-01-24 16:00:00,2020-02-11 04:00:00,8516.309926949998,9723.6990033575,2.520594454342772,3006.573957551449,14.177373613267651,17.5,vtrend_a3_entry,vtrend_trail_stop
26,2020-02-18 08:00:00,2020-02-20 12:00:00,9800.693347724999,9555.926901372502,2.493301498046514,-646.0152576498258,-2.4974401062075158,2.1666666666666665,vtrend_a3_entry,vtrend_trail_stop
27,2020-02-21 04:00:00,2020-02-25 16:00:00,9717.099816847498,9385.7971587975,2.444601469689744,-844.3197650740549,-3.409480856372238,4.5,vtrend_a3_entry,vtrend_trail_stop
28,2020-04-03 16:00:00,2020-04-10 12:00:00,6720.055018334999,6891.34348456,3.4041094844258377,547.8963608749436,2.5489146406935337,6.833333333333333,vtrend_a3_entry,vtrend_trail_stop
