label,scenario,score,cagr_pct,max_drawdown_mid_pct,sharpe,sortino,calmar,profit_factor,win_rate_pct,trades,avg_trade_pnl,fees_total,fee_drag_pct_per_year,turnover_per_year,avg_exposure,time_in_market_pct,total_return_pct,initial_cash,final_nav_mid
candidate,smart,55.1364,27.8,47.69,0.8998,0.8627,0.5829,1.4104,60.87,69,704.31,1943.39,0.6,17.03,0.4554,58.1,476.34,10000.0,57634.18
candidate,base,49.5659,25.92,48.44,0.8553,0.8212,0.5349,1.3975,57.97,69,643.53,5202.42,1.7,17.0,0.4553,58.09,418.26,10000.0,51825.56
candidate,harsh,43.6976,23.95,49.23,0.8082,0.7773,0.4866,1.379,57.97,69,578.81,7290.25,2.55,16.98,0.4554,58.09,363.25,10000.0,46325.29
baseline,smart,114.9068,45.88,35.09,1.3726,1.3225,1.3075,2.056,50.52,97,1446.04,4190.75,0.86,24.7,0.4021,53.51,1381.95,10000.0,148195.49
baseline,base,106.1535,42.97,36.25,1.307,1.2628,1.1854,2.0045,50.52,97,1275.21,10857.19,2.46,24.56,0.4028,53.53,1183.31,10000.0,128331.0
baseline,harsh,91.0416,37.45,35.9,1.1872,1.1423,1.0433,1.8918,50.0,98,954.32,13380.36,3.7,24.65,0.4012,53.43,869.09,10000.0,96908.67
