candidate_trade_id,baseline_trade_id,entry_time,cand_exit_time,base_exit_time,cand_pnl,base_pnl,delta_pnl,cand_return_pct,base_return_pct
1,1,1554926400000,1556424000000,1556424000000,82.828736,82.828736,0.0,2.079854,2.079854
2,2,1556496000000,1558065600000,1558065600000,2986.132394,2986.132394,0.0,32.955161,32.955161
3,3,1558238400000,1559606400000,1558569600000,262.730364,-468.835039,731.565403,2.272689,-3.837558
4,5,1559793600000,1561651200000,1561651200000,6342.363635,5899.956284,442.407351,49.862815,49.862815
5,6,1562126400000,1562904000000,1562904000000,-362.415015,-337.134997,-25.280018,-2.300793,-2.300793
6,7,1563436800000,1563897600000,1563897600000,-721.717568,-671.37464,-50.342928,-5.915018,-5.915018
7,8,1564027200000,1565481600000,1565481600000,2470.051646,2297.754839,172.296807,14.346491,14.346491
8,9,1565971200000,1566403200000,1566403200000,-714.408666,-664.575565,-49.833101,-3.448121,-3.448121
9,10,1566576000000,1568001600000,1567022400000,168.127309,-945.887627,1114.014936,1.015811,-5.804519
10,12,1568246400000,1569355200000,1568865600000,-3705.575504,-810.574311,-2895.001193,-18.458985,-4.216064
12,15,1572652800000,1574337600000,1573833600000,-2311.556598,-1336.593792,-974.962806,-15.24893,-8.681892
13,16,1579248000000,1581883200000,1581883200000,840.464012,903.336015,-62.872004,6.053488,6.053488
14,17,1582041600000,1583697600000,1582704000000,-2506.791028,-1209.847453,-1296.943575,-15.834523,-7.027521
16,23,1591315200000,1596542400000,1593288000000,1929.237926,-1094.621318,3023.859244,15.3071,-7.307089
17,25,1597032000000,1599336000000,1598054400000,-2374.622423,-530.698969,-1843.923454,-16.42686,-3.25048
18,27,1599393600000,1600704000000,1600704000000,106.173176,193.952168,-87.778992,1.016888,1.536935
19,28,1601107200000,1603958400000,1603958400000,2738.17894,3215.991699,-477.812758,22.279054,22.279054
20,29,1604131200000,1606377600000,1606377600000,3912.43742,4595.158511,-682.721092,26.462687,26.462687
21,30,1606564800000,1607472000000,1607472000000,225.588574,264.953824,-39.36525,1.380975,1.380975
22,31,1607745600000,1610352000000,1610352000000,15866.793572,18635.55214,-2768.758569,85.881037,85.881037
23,32,1610553600000,1611115200000,1611115200000,-908.837434,-1067.429744,158.592309,-3.923149,-3.923149
24,33,1611374400000,1614052800000,1614052800000,10664.311955,12525.236468,-1860.924513,39.591431,39.591431
25,34,1614643200000,1615867200000,1615867200000,1968.730173,2312.273972,-343.543799,4.884412,4.884412
26,35,1616256000000,1618675200000,1618675200000,1399.185201,1643.343291,-244.15809,3.4003,3.4003
27,36,1619323200000,1620172800000,1620172800000,1355.354929,1591.864629,-236.509699,3.214751,3.214751
28,37,1620302400000,1620936000000,1620936000000,-2488.430403,-2922.661993,434.23159,-16.408693,-16.408693
29,38,1621497600000,1621785600000,1621785600000,-1324.668418,-1805.414519,480.746101,-17.271254,-16.081681
30,39,1627689600000,1629345600000,1629345600000,543.788578,635.671924,-91.883346,3.370796,3.370796
31,40,1629403200000,1629979200000,1629979200000,-604.568508,-706.72177,102.153263,-1.462758,-1.462758
32,41,1630080000000,1631073600000,1631073600000,-2092.254735,-2445.78067,353.525935,-4.680053,-4.680053
33,42,1631347200000,1632124800000,1632124800000,-109.639083,-128.164675,18.525593,-0.673854,-0.673854
34,43,1632326400000,1634860800000,1632873600000,17495.943428,-3027.140173,20523.083601,42.235719,-6.179493
35,45,1635134400000,1636718400000,1636718400000,880.90105,880.602129,0.298921,1.675318,1.675318
36,46,1636963200000,1638604800000,1638576000000,-12120.124529,-5976.726692,-6143.397837,-20.868146,-10.217961
