window_id,test_start,test_end,candidate_score,baseline_score,delta_harsh_score,candidate_cagr_pct,baseline_cagr_pct,candidate_max_dd_pct,baseline_max_dd_pct,candidate_sharpe,baseline_sharpe,candidate_trades,baseline_trades
0,2022-01-01,2022-07-01,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2022-07-01,2023-01-01,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2023-01-01,2023-07-01,-1000000.0,-1000000.0,0.0,19.14,-1.45,16.8,14.68,0.8039,0.0337,1,4
3,2023-07-01,2024-01-01,-1000000.0,-1000000.0,0.0,35.51,61.88,19.43,11.85,1.2864,1.9255,5,6
4,2024-01-01,2024-07-01,-1000000.0,56.8469,-1000056.8469,3.27,24.56,34.19,23.08,0.2768,0.8118,7,11
5,2024-07-01,2025-01-01,-1000000.0,243.6548,-1000243.6548,29.08,88.78,28.31,10.52,0.9332,2.1271,8,10
6,2025-01-01,2025-07-01,-1000000.0,-1000000.0,0.0,-34.58,-7.64,37.06,25.39,-0.8744,-0.0883,6,9
7,2025-07-01,2026-01-01,-1000000.0,-1000000.0,0.0,-19.0,1.17,19.55,14.73,-0.6277,0.1628,3,9
