period,sharpe20,cagr20,mdd20,trades,exposure,win_rate,mean_trade,median_trade,mean_hold_days,median_hold_days,top_winner_conc,bottom_tail
Discovery_2020,2.48716,1.91911,-0.258568,15,0.401639,0.6,0.063851,0.006784,8.8,2.0,0.96592,-0.042308
Discovery_2021,0.383472,0.076365,-0.308033,14,0.210959,0.5,0.007105,0.014853,5.5,2.5,0.795521,-0.058698
Discovery_2022,0.548155,0.133058,-0.252757,11,0.164384,0.818182,0.014762,0.026146,5.454545,5.0,0.855282,-0.046861
Discovery_All,1.24171,0.526658,-0.332526,40,0.259124,0.625,0.039929,0.01432,7.1,3.0,0.662617,-0.104787
Holdout_2023,1.648327,0.543042,-0.158684,9,0.356164,0.666667,0.05769,0.01009,14.444444,7.0,0.985172,-0.027005
Holdout_2024,1.570888,0.523913,-0.184063,6,0.218579,0.833333,0.078252,0.021355,13.333333,5.5,1.0,0.040198
Holdout_All,1.608883,0.532537,-0.184063,15,0.287278,0.733333,0.065915,0.015494,14.0,6.0,0.930542,-0.037803
Reserve_2025,0.076114,-0.002913,-0.311909,14,0.161644,0.428571,0.001027,-0.004492,4.214286,1.0,0.962727,-0.046758
Reserve_2026YTD,2.405718,1.464022,-0.082563,3,0.337838,1.0,0.062831,0.05346,8.333333,2.0,1.0,0.062831
Reserve_All,0.736419,0.159368,-0.311909,17,0.191344,0.529412,0.011934,0.010031,4.941176,1.0,0.871138,-0.046758
PreReserve_2020_2024,1.344005,0.528652,-0.332526,55,0.270389,0.654545,0.047016,0.015494,8.981818,5.0,0.572491,-0.110807
Live_2020_end,1.247989,0.448788,-0.332526,72,0.255075,0.625,0.038733,0.012256,8.027778,3.0,0.507839,-0.115571
