candidate,sharpe20,cagr20,mdd20,trades20,exp20,sharpe50,cagr50,2025_sh,2026_sh
SF_EFF40_Q70_STATIC,0.736419,0.159368,-0.311909,17,0.191344,0.557721,0.111044,0.076114,2.405718
L2_EFF40S70__H4TR48R55,0.708563,0.142336,-0.258277,17,0.13356,0.517295,0.094969,-0.044769,2.373358
L2_EFF40S70__XH4D1SMA20S60,-0.643167,-0.065023,-0.182936,13,0.063186,-0.93587,-0.094816,-1.166544,1.825561
SF_EMA40_Q65_STATIC,-0.719818,-0.096602,-0.140192,12,0.148064,-0.94028,-0.123348,-0.681069,-2.383162
L2_EMA40S70__H4B48E65,-2.019229,-0.116933,-0.155666,16,0.041241,-2.403256,-0.151437,-2.222103,
